alpha,beta_logM,sigma
0.11854578701989005,-0.28661527435695916,0.2733353991735959
-0.13443087038301535,-0.24052126010183567,0.2665533760046836
-0.30302782178412996,-0.15238396760171868,0.21466783900752442
-0.5261370485447978,-0.07031800640496955,0.3732131965727719
-0.1725466022108421,-0.19245427176013982,0.22131078608893778
-0.19732635459956746,-0.20872440759170055,0.19932363046474738
0.20913551823087811,-0.3209490601108919,0.3330997365404861
0.1853709911975796,-0.34142812783725107,0.27739014765684616
0.25933615160912044,-0.3647559862452494,0.37889887033178815
0.10988490948225027,-0.2803371523215669,0.21469661032017273
0.1673473109097065,-0.36004827863153577,0.2168530362662598
0.06466746703803608,-0.31956955407372184,0.2357255946882758
0.031801511007832094,-0.284903554381409,0.30934892590976426
-0.35954354016596357,-0.17450766023255912,0.3268084414362965
-0.2451317286221247,-0.15993873166363776,0.2129325338732563
-0.03771794603909143,-0.2673555980414865,0.25280133084944134
-0.42613751832756686,-0.1408968758161856,0.22676006549325353
-0.009394723301944564,-0.2808188578305863,0.18938951459929587
0.01882239959282954,-0.31167359595932626,0.2770695989260688
0.02185525070840926,-0.29537381621171105,0.21780913636255061
0.20524643257513978,-0.3522443296645286,0.1891550232186049
0.3889989426676046,-0.4718899630834516,0.24411323868185503
0.3791568269164599,-0.363570466050374,0.3578106892923941
0.09099947238254076,-0.34828809830714863,0.23976890454188227
0.43545498397843463,-0.38451837203318273,0.32867591339935354
0.49282360768483635,-0.4696616092485307,0.22802896870642886
-0.41018226822303244,-0.14822196903368315,0.2119028835819322
-0.13797204422937615,-0.22067509356004616,0.19942257755316672
-0.3627956637686797,-0.14670320696414066,0.1745535577300683
-0.31808673426893697,-0.1593444688805755,0.26940079660896765
-0.20209099953616055,-0.21462353686242797,0.22015837144884742
0.07527799773360774,-0.2734091861429343,0.29150465377750273
-0.2102182353469731,-0.1681315185282933,0.30552399803589136
0.005692276896611087,-0.29217587206876094,0.27720129248359915
0.027219265162642475,-0.2868285662602858,0.2968614341376022
0.1608573602466761,-0.34873637240483907,0.2478247151321728
