alpha,beta_logM,sigma
0.7010141404654149,-0.27751707123091135,0.3272699316197087
0.6244940398537362,-0.2696674422189154,0.34541367996645905
0.6459765038906145,-0.26641944582752586,0.34061368735888303
0.5795020239064335,-0.25241539241995803,0.3321614651855086
0.7818930982589299,-0.30235749053272204,0.3293673007156703
0.6986282410211141,-0.2939646769869874,0.34365427229194295
0.8757871190249954,-0.3242479457758755,0.3432226260985441
0.7515563551356207,-0.2951962256621801,0.33177131114686426
0.695513028774295,-0.28468952675002157,0.36367696309407627
0.7588858532948146,-0.2944114368135568,0.3229558702400966
0.7416790346822174,-0.29239438236516563,0.3286711813975951
0.6651128399406048,-0.27777916146053505,0.3094887126044277
0.6362877869130621,-0.2659590654918287,0.32798146190594407
0.6981533758264966,-0.2928882163441339,0.3282175783118897
0.7306351252562164,-0.28572474394290354,0.3442769596015657
0.7141609036852523,-0.29382647258229266,0.3383389017950742
0.6634864278677426,-0.27393036757299943,0.33080354272422535
0.6055909596016172,-0.261000841621811,0.32995090861781784
0.6519001392372739,-0.2784978146844013,0.3500712385671413
0.6451708409433456,-0.2710807931305696,0.3297103635764044
0.6728319175113096,-0.27884384605382767,0.31086679329863814
0.7021357677644062,-0.27732577557910465,0.3483155914598668
0.7407349428640019,-0.2957612745111905,0.31954072026590113
0.7145843450113218,-0.28934902389541034,0.32180246561167725
0.8022591441338051,-0.30251323090136994,0.3406048521918299
0.749871020084796,-0.29713127686234425,0.3289107759681311
0.6265971325236546,-0.2547351166913372,0.3701628988308079
0.6289196294416226,-0.2622777816071073,0.3316973932958013
0.5774814006874518,-0.25294591922119325,0.3274386640640001
0.6837017215621962,-0.27956516990646363,0.3263686035703759
0.6307233887720509,-0.2693953900096469,0.3183872215317099
0.6860275142970869,-0.26952782725808155,0.3381365279134619
0.7010454501697375,-0.29212018905944925,0.3279504183320877
0.6622785389040291,-0.27523957790814346,0.3497941108871707
0.7150385424317561,-0.29096864468170547,0.31889809726030494
0.7023097037023118,-0.2809207514470327,0.32105195321891566
0.6506810967967507,-0.276988894866495,0.3456739028197051
0.6698216151073142,-0.2776420907226995,0.3357706786180005
0.6993038579340146,-0.2856126891095157,0.3545109690290015
0.7464486361783552,-0.29481080447724994,0.33833107825928094
0.6561656179564891,-0.26956030235912837,0.34083972210110924
0.6632699625952887,-0.2781722344082636,0.35494149377566925
0.6154554477426242,-0.2654048879153847,0.32660173241486273
0.6550054315864301,-0.26431705578965015,0.3321953522895736
0.7595610647965213,-0.29970664416667236,0.3441397030425993
0.6915984018298236,-0.2844604884104696,0.31991235015818054
0.7191229275754046,-0.2835423070270362,0.3191929510308098
0.65887015822022,-0.2724980866054517,0.34479197919616306
0.8634730784972465,-0.3303469766346944,0.36459179773959666
0.8093788935673266,-0.32199951645011926,0.3275413399542158
0.599342089133545,-0.2579843831688655,0.37113124996410907
0.5634978094527681,-0.24524295135196514,0.35207433031452967
0.7309811429910246,-0.2943988942431843,0.34723361542644854
0.7281440335433724,-0.29475704423317045,0.33678376938596427
0.7439207858190509,-0.29249631951963345,0.3278474088769514
0.7174502306323215,-0.2810688511315213,0.37524907212358977
0.635541501306488,-0.2574814015351808,0.35125302003935605
0.6075474731227438,-0.2608027198802518,0.3314091262696773
0.6391816863052918,-0.2651720758163981,0.34777528334628915
0.6648227083848566,-0.2693047550189044,0.3325004752242184
0.7477803021166012,-0.30020020932628666,0.3359687187197271
0.7500565801413613,-0.2964082349536273,0.3538610936494636
0.6675768484001974,-0.2637152609948942,0.30801748085003716
0.656829959978268,-0.2829018092749756,0.32988280389676106
0.7542584549134973,-0.28550461613625094,0.341875546747244
0.7061588805163933,-0.2823404895612285,0.33602456680303
0.7344264091572428,-0.28694533364704,0.33539127518960177
0.6647410164734235,-0.2823390066216851,0.31759816142948827
0.7236191897014733,-0.2900986978935554,0.3488228212184043
0.5862819797509538,-0.2492085015313375,0.3307518197974555
0.5320037966470732,-0.23891559233562532,0.33544533968659557
0.647025423106252,-0.26154700145333526,0.33993284063076895
0.5851342822066091,-0.2571472195766049,0.34684749034474893
0.5867185129608191,-0.2510909099876983,0.3562373729102852
0.5901557954377031,-0.24973875473057872,0.33576495970067877
0.6822804350592143,-0.28240482347596046,0.33434948330944153
0.7313469279825756,-0.28582494520717994,0.34804543649027764
0.6666625203105095,-0.27560949178790856,0.35766045646519057
0.6610624944692122,-0.2862957326496216,0.33128088120623006
0.6721069060138761,-0.28839167984177255,0.3426557995065972
0.6031116572714547,-0.2555087579955842,0.3495766142967981
0.5596999183688265,-0.2507099919347335,0.3324197013839124
0.5664350052637346,-0.2438676107601741,0.3596894787662742
0.5451253097984301,-0.23803047295673396,0.3657479475698391
0.6454642172984196,-0.2688242953707922,0.3295398542876597
0.6618131412858343,-0.2703530194777954,0.35637630264591424
0.6776021901005872,-0.28137408089252697,0.34481392719757364
0.5991711948638789,-0.25535777097436835,0.310250523408924
0.7077904000203764,-0.27781655096656827,0.3268331183373479
0.5686696692555442,-0.25210205445494976,0.3485913721719752
0.6249266835472362,-0.27361803192051926,0.3324627286873073
0.6395541924289713,-0.2678235855982958,0.34005293255675406
0.6297622958896542,-0.2729179161203431,0.3448022396173165
0.6203814986361466,-0.2687941399798705,0.31467170669942884
