alpha,beta_logM,sigma
0.26059667692385113,-0.18001497699506075,0.282472727438146
0.20036603155670832,-0.1528096515777842,0.30100079209884645
0.18591355617132238,-0.1550744270005143,0.3187040222612844
0.2073178137637629,-0.16833342839454596,0.3018355898402289
0.2073819102877387,-0.1627964351881252,0.29324280470787906
0.2693318000537025,-0.16707010547399093,0.2752692712103226
0.26732970206137624,-0.16938238222932633,0.2976167075540343
0.22620296247318541,-0.16279703194857953,0.2945731697626476
0.20191545450064907,-0.1575412590783349,0.28343182640876596
0.30437927992701586,-0.17786449630971235,0.3045376892253672
0.2531622843616363,-0.1768281422124225,0.2769865619588927
0.19626420735777897,-0.15037219845102145,0.2845407425043684
0.2483524515806633,-0.16212432834207155,0.34738408670429677
0.14252365559678298,-0.15406564134207396,0.2886968070843936
0.23493774197390843,-0.16349842112299406,0.2909367996492602
0.194096973334416,-0.15606177648456193,0.3064314115440225
0.15857462402380648,-0.1439603301879893,0.28140141333565505
0.26498474358825747,-0.1701513368824138,0.2956280366143831
0.19848124518052596,-0.16638888761979137,0.3189507773304536
0.2138223369063643,-0.15185367069271913,0.29472677539932124
0.25903564080793534,-0.17827298215454823,0.2804468304727832
0.25703887197552155,-0.17688112864056507,0.3133254934270172
0.24939807135788028,-0.17454866249093798,0.27776705607310215
0.18246347610036745,-0.15249441532468827,0.2890731171019255
0.34501134138977757,-0.18784187544752906,0.3017500060244652
0.354588551478934,-0.19132308299276865,0.3192633972084846
0.2297311639720806,-0.15855494636410697,0.2573399255399815
0.20442184830828683,-0.16201190576153357,0.2906805971971341
0.22592565756107363,-0.16240308650622187,0.29335616610294135
0.1988657243420824,-0.15074370739908796,0.26716864003124485
0.2338473030046922,-0.16450641088029772,0.3078952539089909
0.28364001886285134,-0.16609128835576287,0.27121105377930904
0.25236886118491336,-0.1730579606512529,0.2942088079745103
0.22315103724497629,-0.16137784522079218,0.2854767992333627
0.31539850640107614,-0.18579133586375363,0.2916518189266031
0.2596784367411939,-0.16696985806549308,0.2767951712015567
0.2257024583373088,-0.17449432449819102,0.3004790388562753
0.2500264128314103,-0.17092207850944255,0.29568398182139166
0.3174792308820514,-0.19450577465839688,0.2899876710336505
0.1686023200060353,-0.14002934446744555,0.30541726370307465
0.14627773041895514,-0.14594382885425394,0.2786085702127059
0.2056823873456959,-0.16252146081595234,0.27997310268251335
0.23674987738767617,-0.15719098193789746,0.28764382945022215
0.3317979009705092,-0.1916649884703987,0.3002628156621564
0.2371087036197888,-0.16873184090284235,0.27217609413866267
0.24963485350100068,-0.16803744566321172,0.3088743347780526
0.214823166794906,-0.16457119184151198,0.2983988901392104
