scientificName,className,orderName,familyName,genusName,speciesName,redlistCategory,raster_stem,name_raster,match_raster,sdm_method,raster_dir,raster_file,raster_path,name_trait,match_trait,BodyMass.Value,Diet,diet_combo,density,home_range_size,dispersal_dist,min_patch_size,min_pop_size,alpha_q50,beta_q50,alpha_q16,beta_q16,alpha_q025,beta_q025,habitat_codes_suitable,habitats_level1,habitats_mixed
Microcebus myoxinus,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,myoxinus,Vulnerable,microcebus_myoxinus_bin,Microcebus myoxinus,original,RangeBag,mammal_rangebag_bin,Microcebus_myoxinus_bin.tif,mammal_rangebag_bin/Microcebus_myoxinus_bin.tif,Microcebus myoxinus,original,30,omnivore,NA,404.51325940635047,0.00162,0.22539565213197876,0.024721068512502286,1.2360534256251143,200883644.5281585,2.2333009742103695,49585581.10281466,2.001775833584493,12594169.53301015,1.777459709012944,1.5,Forest,Forest
Monticolomys koopmani,MAMMALIA,RODENTIA,NESOMYIDAE,Monticolomys,koopmani,Least Concern,monticolomys_koopmani_bin,Monticolomys koopmani,original,RangeBag,mammal_rangebag_bin,Monticolomys_koopmani_bin.tif,mammal_rangebag_bin/Monticolomys_koopmani_bin.tif,Monticolomys koopmani,original,25,herbivore,NA,231.9687481978352,0.00135,0.20575713839378695,0.04310925535310244,2.155462767655122,179778490.88638103,2.2034879741691324,44236958.75001125,1.9719588439817728,11036887.668667758,1.7458427505171124,1.9,Forest,Forest
Brachyuromys betsileoensis,MAMMALIA,RODENTIA,NESOMYIDAE,Brachyuromys,betsileoensis,Least Concern,brachyuromys_betsileoensis_bin,Brachyuromys betsileoensis,original,RangeBag,mammal_rangebag_bin,Brachyuromys_betsileoensis_bin.tif,mammal_rangebag_bin/Brachyuromys_betsileoensis_bin.tif,Brachyuromys betsileoensis,original,92.5,herbivore,NA,150.70275855472127,0.004995,0.39578175804349547,0.06635578602477225,3.3177893012386126,322531078.7737949,2.3897139829247,83539223.19568117,2.1628868301777526,24003621.287413973,1.9536096963049752,"1.9, 3.7, 4.7, 5.4","Forest, Shrubland, Grassland, Wetlands (inland)","Forest, Shrubland, Grassland, Wetlands (inland)"
Brachyuromys ramirohitra,MAMMALIA,RODENTIA,NESOMYIDAE,Brachyuromys,ramirohitra,Least Concern,brachyuromys_ramirohitra_bin,Brachyuromys ramirohitra,original,RangeBag,mammal_rangebag_bin,Brachyuromys_ramirohitra_bin.tif,mammal_rangebag_bin/Brachyuromys_ramirohitra_bin.tif,Brachyuromys ramirohitra,original,90,herbivore,NA,152.07008652679664,0.00486,0.3903967212977076,0.06575915243027021,3.2879576215135105,320633183.5732127,2.386757068748634,82862006.95504847,2.159655044711869,23720063.73788152,1.9498776122076544,"1.6, 1.9",Forest,Forest
Macrotarsomys bastardi,MAMMALIA,RODENTIA,NESOMYIDAE,Macrotarsomys,bastardi,Least Concern,macrotarsomys_bastardi_bin,Macrotarsomys bastardi,original,RangeBag,mammal_rangebag_bin,Macrotarsomys_bastardi_bin.tif,mammal_rangebag_bin/Macrotarsomys_bastardi_bin.tif,Macrotarsomys bastardi,original,25,herbivore,NA,231.9687481978352,0.00135,0.20575713839378695,0.04310925535310244,2.155462767655122,179778490.88638103,2.2034879741691324,44236958.75001125,1.9719588439817728,11036887.668667758,1.7458427505171124,"1.5, 3.5","Forest, Shrubland","Forest, Shrubland"
Brachytarsomys albicauda,MAMMALIA,RODENTIA,NESOMYIDAE,Brachytarsomys,albicauda,Least Concern,brachytarsomys_albicauda_bin,Brachytarsomys albicauda,original,RangeBag,mammal_rangebag_bin,Brachytarsomys_albicauda_bin.tif,mammal_rangebag_bin/Brachytarsomys_albicauda_bin.tif,Brachytarsomys albicauda,original,200,herbivore,NA,116.87589379771462,0.0108,0.5819690713431427,0.08556084300247327,4.278042150123663,342079148.87110037,2.455304727466933,96195001.68883604,2.2391108399076725,31076218.881611314,2.046022684005191,"1.6, 1.9",Forest,Forest
Gymnuromys roberti,MAMMALIA,RODENTIA,NESOMYIDAE,Gymnuromys,roberti,Least Concern,gymnuromys_roberti_bin,Gymnuromys roberti,original,PPM,mammal_ppm_bin,Gymnuromys_roberti_bin.tif,mammal_ppm_bin/Gymnuromys_roberti_bin.tif,Gymnuromys roberti,original,97.5,herbivore,NA,148.11001616212891,0.005265,0.4063377905142469,0.06751737835916162,3.3758689179580808,325928876.2819738,2.395255542983483,84798100.73363517,2.168982879450424,24544398.308917664,1.9606883282468457,"1.6, 1.9",Forest,Forest
Nesomys audeberti,MAMMALIA,RODENTIA,NESOMYIDAE,Nesomys,audeberti,Least Concern,nesomys_audeberti_bin,Nesomys audeberti,original,RangeBag,mammal_rangebag_bin,Nesomys_audeberti_bin.tif,mammal_rangebag_bin/Nesomys_audeberti_bin.tif,Nesomys audeberti,original,212.5,herbivore,NA,114.56331810942693,0.011474999999999999,0.5998799879975993,0.08728797458928647,4.364398729464323,341273962.6176097,2.4593064143628487,96679818.59571977,2.244090461560314,31530785.60286121,2.0523470060895597,1.6,Forest,Forest
Nesomys rufus,MAMMALIA,RODENTIA,NESOMYIDAE,Nesomys,rufus,Least Concern,nesomys_rufus_bin,Nesomys rufus,original,PPM,mammal_ppm_bin,Nesomys_rufus_bin.tif,mammal_ppm_bin/Nesomys_rufus_bin.tif,Nesomys rufus,original,162.5,herbivore,NA,125.15602551513318,0.008775,0.5245798318654654,0.07990026815601343,3.9950134078006716,342648139.41903436,2.4405392205898053,93999626.74386232,2.2210828705816157,29389959.80279228,2.0233945892638383,"1.6, 1.9",Forest,Forest
Eliurus minor,MAMMALIA,RODENTIA,NESOMYIDAE,Eliurus,minor,Least Concern,eliurus_minor_bin,Eliurus minor,original,PPM,mammal_ppm_bin,Eliurus_minor_bin.tif,mammal_ppm_bin/Eliurus_minor_bin.tif,Eliurus minor,original,37.5,herbivore,NA,202.94614957404113,0.002025,0.252,0.04927415484841059,2.46370774242053,227276175.835444,2.2683107324187626,56403079.03392974,2.037046343459892,14650300.02374621,1.8151569786853494,"1.5, 1.6, 1.9",Forest,Forest
