scientificName,EltonTraits_scientificName
Branta bernicla bernicla,Branta bernicla
Branta bernicla nigricans,Branta bernicla
Chen caerulescens atlanticus,Chen caerulescens
Chen caerulescens caerulescens,Chen caerulescens
Mergus cucullatus,Lophodytes cucullatus
Columba mayeri,Nesoenas mayeri
Lagopus lagopus lagopus,Lagopus lagopus
Lagopus lagopus scoticus,Lagopus lagopus
Lagopus mutus,Lagopus muta
Delichon urbica,Delichon urbicum
Petrochelidon  pyrrhonota,Petrochelidon pyrrhonota
Luscinia megahrynchos,Luscinia megarhynchos
Parus bicolor,Baeolophus bicolor
Poecile atricapillus,Parus atricapillus
Seiurus aurocapillus,Seiurus aurocapilla
Ixoreus naevius,Zoothera naevia
