Order	Family	Species	log10(rm)	log10(alpha)	log10(B)	log10(M)
Afrosoricida	Chrysochloridae	Amblysomus hottentotus	NA	NA	-0.3251	1.8451
Afrosoricida	Chrysochloridae	Chrysochloris asiatica	NA	NA	-0.6139	1.5645
Afrosoricida	Chrysochloridae	Eremitalpa granti	NA	NA	-1.1587	1.3588
Afrosoricida	Tenrecidae	Echinops telfairi	NA	-0.1591	-0.1249	2.1606
Afrosoricida	Tenrecidae	Geogale aurita	NA	NA	-1.3665	0.8388
Afrosoricida	Tenrecidae	Hemicentetes semispinosus	NA	-0.9208	-0.4199	2.1205
Afrosoricida	Tenrecidae	Limnogale mergulus	NA	NA	-0.4497	1.8904
Afrosoricida	Tenrecidae	Microgale cowani	NA	NA	-0.7471	1.0864
Afrosoricida	Tenrecidae	Microgale dobsoni	NA	0.2632	-0.5017	1.6134
Afrosoricida	Tenrecidae	Microgale talazaci	NA	0.2533	-0.6144	1.6628
Afrosoricida	Tenrecidae	Setifer setosus	NA	-0.2676	-0.2418	2.5226
Afrosoricida	Tenrecidae	Tenrec ecaudatus	NA	-0.2778	-0.1373	2.8797
Artiodactyla	Antilocapridae	Antilocapra americana	-0.3328	0.1146	1.7073	4.6294
Artiodactyla	Bovidae	Addax nasomaculatus	NA	0.3565	NA	5.261
Artiodactyla	Bovidae	Aepyceros melampus	NA	0.1425	NA	4.6178
Artiodactyla	Bovidae	Alcelaphus buselaphus	NA	0.2829	NA	5.1761
Artiodactyla	Bovidae	Ammotragus lervia	NA	0.0937	NA	4.7443
Artiodactyla	Bovidae	Antidorcas marsupialis	NA	-0.0693	NA	4.4771
Artiodactyla	Bovidae	Antilope cervicapra	NA	0.2247	NA	4.574
Artiodactyla	Bovidae	Bison bison	-0.5526	0.3896	NA	5.771
Artiodactyla	Bovidae	Bison bonasus	NA	0.3978	NA	5.699
Artiodactyla	Bovidae	Bos frontalis	NA	0.3039	NA	5.9031
Artiodactyla	Bovidae	Bos grunniens	NA	0.3059	NA	5.5224
Artiodactyla	Bovidae	Bos javanicus	NA	0.328	NA	5.8239
Artiodactyla	Bovidae	Bos taurus	-0.3734	0.301	2.4868	5.7217
Artiodactyla	Bovidae	Boselaphus tragocamelus	NA	0.3975	NA	5.2279
Artiodactyla	Bovidae	Bubalus bubalis	-0.4815	0.2197	NA	5.7609
Artiodactyla	Bovidae	Budorcas taxicolor	NA	0.3979	NA	5.48
Artiodactyla	Bovidae	Capra cylindricornis	NA	0.4459	NA	4.699
Artiodactyla	Bovidae	Capra falconeri	NA	0.31	NA	4.6128
Artiodactyla	Bovidae	Capra hircus	-0.386	0.1244	NA	4.6955
Artiodactyla	Bovidae	Capra ibex	-0.5817	0.3871	NA	4.7893
Artiodactyla	Bovidae	Cephalophus dorsalis	NA	0.1996	NA	4.0645
Artiodactyla	Bovidae	Cephalophus maxwellii	NA	0.426	NA	3.9542
Artiodactyla	Bovidae	Cephalophus monticola	NA	0.1249	1.0032	3.7096
Artiodactyla	Bovidae	Cephalophus rufilatus	NA	0.0601	NA	4.0969
Artiodactyla	Bovidae	Connochaetes gnou	NA	0.3205	NA	5.1214
Artiodactyla	Bovidae	Connochaetes taurinus	-0.6744	0.2723	2.3619	5.2563
Artiodactyla	Bovidae	Damaliscus lunatus	-0.5346	0.3601	NA	5.0743
Artiodactyla	Bovidae	Damaliscus pygargus	NA	0.2874	NA	4.9269
Artiodactyla	Bovidae	Gazella cuvieri	NA	-0.02	NA	4.243
Artiodactyla	Bovidae	Gazella dorcas	NA	0.2685	NA	4.2301
Artiodactyla	Bovidae	Gazella gazella	NA	0.0414	NA	4.317
Artiodactyla	Bovidae	Gazella granti	NA	-0.1627	NA	4.6779
Artiodactyla	Bovidae	Gazella leptoceros	NA	-0.3657	NA	4.3729
Artiodactyla	Bovidae	Gazella soemmerringii	NA	0.2197	NA	4.6021
Artiodactyla	Bovidae	Gazella spekei	NA	0.1461	NA	4.301
Artiodactyla	Bovidae	Gazella subgutturosa	NA	0.188	NA	4.4065
