Class,Order,Effect_Order,Family,Effect_Family,Species,Effect_Species
Amphibia,Anura,0,Brachycephalidae,-0.078473624,Brachycephalus hermogenesi,-0.242643526
Amphibia,Anura,0,Brachycephalidae,-0.078473624,Ischnocnema guentheri,0.192372017
Amphibia,Anura,0,Bufonidae,-0.218421609,Atelopus cruciger,0.057257448
Amphibia,Anura,0,Bufonidae,-0.218421609,Atelopus hoogmoedi,-0.045417812
Amphibia,Anura,0,Bufonidae,-0.218421609,Atelopus ignescens,0.106266534
Amphibia,Anura,0,Bufonidae,-0.218421609,Atelopus varius,0.242551571
Amphibia,Anura,0,Bufonidae,-0.218421609,Bufo calamita,-0.60146345
Amphibia,Anura,0,Bufonidae,-0.218421609,Chaunus ornatus,0.277812645
Amphibia,Anura,0,Bufonidae,-0.218421609,Rhinella abei,-0.145641447
Amphibia,Anura,0,Bufonidae,-0.218421609,Rhinella margaritifera,-0.031290004
Amphibia,Anura,0,Centrolenidae,0.335566398,Cochranella granulosa,0.214969415
Amphibia,Anura,0,Craugastoridae,-0.152408784,Craugastor fitzingeri,0.100493169
Amphibia,Anura,0,Craugastoridae,-0.152408784,Euparkerella cochranae,0.06935055
Amphibia,Anura,0,Craugastoridae,-0.152408784,Haddadus binotatus,-0.160522727
Amphibia,Anura,0,Craugastoridae,-0.152408784,Pristimantis espedeus,-0.106956593
Amphibia,Anura,0,Cycloramphidae,0.250077161,Zachaenus parvulus,0.160203588
Amphibia,Anura,0,Dendrobatidae,0.001400279,Dendrobates auratus,-0.19608427
Amphibia,Anura,0,Dendrobatidae,0.001400279,Dendrobates tinctorius,0.196981311
Amphibia,Anura,0,Eleutherodactylidae,0.220523135,Diasporus diastema,-0.236584599
Amphibia,Anura,0,Eleutherodactylidae,0.220523135,Eleutherodactylus binotatus,0.212080798
Amphibia,Anura,0,Eleutherodactylidae,0.220523135,Eleutherodactylus coqui,0.301487652
Amphibia,Anura,0,Eleutherodactylidae,0.220523135,Eleutherodactylus eriphus,-0.071298893
Amphibia,Anura,0,Eleutherodactylidae,0.220523135,Eleutherodactylus guentheri,0.052471701
Amphibia,Anura,0,Eleutherodactylidae,0.220523135,Eleutherodactylus lanthanites,-0.031912717
Amphibia,Anura,0,Eleutherodactylidae,0.220523135,Eleutherodactylus martiae,-0.067564991
Amphibia,Anura,0,Eleutherodactylidae,0.220523135,Eleutherodactylus simonbolivari,-0.017408165
Amphibia,Anura,0,Hylidae,-0.334434349,Dendropsophus microcephalus,-0.133376429
Amphibia,Anura,0,Hylidae,-0.334434349,Hyla cinerea,-0.206301784
Amphibia,Anura,0,Hylidae,-0.334434349,Hyla squirella,-0.032676828
Amphibia,Anura,0,Hylidae,-0.334434349,Hypsiboas rosenbergi,-0.19782055
Amphibia,Anura,0,Hylidae,-0.334434349,Osteopilus septentrionalis,0.146450399
Amphibia,Anura,0,Hylidae,-0.334434349,Phyllodytes luteolus,0.209480987
Amphibia,Anura,0,Hylodidae,0.220950648,Crossodactylus gaudichaudii,0.141544659
Amphibia,Anura,0,Leiopelmatidae,0.181999549,Leiopelma pakeka,0.116591938
Amphibia,Anura,0,Leptodactylidae,-0.160174634,Adenomera marmorata,-0.164071648
Amphibia,Anura,0,Leptodactylidae,-0.160174634,Leptodactylus fragilis,-0.001651265
Amphibia,Anura,0,Leptodactylidae,-0.160174634,Leptodactylus marmoratus,0.192407634
Amphibia,Anura,0,Leptodactylidae,-0.160174634,Physalaemus signifer,-0.060169434
Amphibia,Anura,0,Leptodactylidae,-0.160174634,Physalaemus spiniger,-0.06912582
Amphibia,Anura,0,Mantellidae,0.159100925,Mantella viridis,0.101922698
Amphibia,Anura,0,Microhylidae,-0.378820459,Chiasmocleis carvalhoi,-0.242678686
Amphibia,Anura,0,Myobatrachidae,0.189173416,Geocrinia alba,-0.010733701
Amphibia,Anura,0,Myobatrachidae,0.189173416,Geocrinia vitellina,0.131921337
Amphibia,Anura,0,Odontophrynidae,-0.242935836,Proceratophrys boiei,-0.155628737
Amphibia,Anura,0,Ranidae,-0.105771654,Lithobates sylvaticus,0.077942998
Amphibia,Anura,0,Ranidae,-0.105771654,Rana latastei,-0.145702079
Amphibia,Anura,0,Scaphiopodidae,0.083555254,Scaphiopus holbrookii,0.053526885
Amphibia,Urodela,0,Ambystomatidae,-0.467305429,Ambystoma laterale,-0.032603836
Amphibia,Urodela,0,Ambystomatidae,-0.467305429,Ambystoma maculatum,-0.098625167
Amphibia,Urodela,0,Ambystomatidae,-0.467305429,Ambystoma tigrinum,-0.168134626
Amphibia,Urodela,0,Plethodontidae,0.606993787,Aneides lugubris,-0.225395748
Amphibia,Urodela,0,Plethodontidae,0.606993787,Batrachoseps attenuatus,0.213442081
Amphibia,Urodela,0,Plethodontidae,0.606993787,Batrachoseps pacificus,0.053622711
Amphibia,Urodela,0,Plethodontidae,0.606993787,Bolitoglossa subpalmata,0.013595791
Amphibia,Urodela,0,Plethodontidae,0.606993787,Desmognathus carolinensis,0.225286204
Amphibia,Urodela,0,Plethodontidae,0.606993787,Desmognathus fuscus,-0.008360894
Amphibia,Urodela,0,Plethodontidae,0.606993787,Desmognathus ochrophaeus,0.133826624
Amphibia,Urodela,0,Plethodontidae,0.606993787,Desmognathus quadramaculatus,0.121478826
Amphibia,Urodela,0,Plethodontidae,0.606993787,Desmognathus wrighti,-0.327633894
Amphibia,Urodela,0,Plethodontidae,0.606993787,Ensatina eschscholtzii,-0.007820647
Amphibia,Urodela,0,Plethodontidae,0.606993787,Eurycea wilderae,-0.359971751
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon albagula,0.002156907
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon cinereus,0.141073022
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon glutinosus,0.08383294
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon hubrichti,-0.020772673
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon jordani,0.325141615
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon kentucki,0.032324628
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon punctatus,0.019746172
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon serratus,0.180496111
Amphibia,Urodela,0,Plethodontidae,0.606993787,Plethodon yonahlossee,-0.207217709
Amphibia,Urodela,0,Salamandridae,-0.110594172,Salamandra atra,-0.028937751
Amphibia,Urodela,0,Salamandridae,-0.110594172,Salamandra infraimmaculata,-0.10612213
Amphibia,Urodela,0,Salamandridae,-0.110594172,Salamandra lanzai,0.121398343
Amphibia,Urodela,0,Salamandridae,-0.110594172,Salamandra salamandra,-0.057186928
Reptilia,Squamata,0,Agamidae,0.332320214,Agama agama,-0.245562035
Reptilia,Squamata,0,Agamidae,0.332320214,Agama rueppelli,-0.20625895
Reptilia,Squamata,0,Agamidae,0.332320214,Bufoniceps laungwalaensis,0.286341034
Reptilia,Squamata,0,Agamidae,0.332320214,Calotes calotes,-0.155882569
Reptilia,Squamata,0,Agamidae,0.332320214,Calotes nigrilabris,0.111855998
Reptilia,Squamata,0,Agamidae,0.332320214,Calotes versicolor,-0.114919672
Reptilia,Squamata,0,Agamidae,0.332320214,Chlamydosaurus kingii,-0.446732749
Reptilia,Squamata,0,Agamidae,0.332320214,Ctenophorus adelaidensis,-0.167968974
Reptilia,Squamata,0,Agamidae,0.332320214,Ctenophorus fionni,0.25804864
Reptilia,Squamata,0,Agamidae,0.332320214,Ctenophorus ornatus,-0.01536758
Reptilia,Squamata,0,Agamidae,0.332320214,Diporiphora australis,0.042153676
Reptilia,Squamata,0,Agamidae,0.332320214,Dipsosaurus dorsalis,0.034400353
Reptilia,Squamata,0,Agamidae,0.332320214,Draco dussumieri,-0.104365808
Reptilia,Squamata,0,Agamidae,0.332320214,Lophognathus temporalis,0.098477141
Reptilia,Squamata,0,Agamidae,0.332320214,Phrynocephalus helioscopus,0.152902842
Reptilia,Squamata,0,Agamidae,0.332320214,Phrynocephalus interscapularis,0.654550841
Reptilia,Squamata,0,Agamidae,0.332320214,Phrynocephalus mystaceus,-0.016971323
Reptilia,Squamata,0,Agamidae,0.332320214,Phrynocephalus reticulatus,0.123289309
Reptilia,Squamata,0,Agamidae,0.332320214,Pogona minor,0.136210691
Reptilia,Squamata,0,Agamidae,0.332320214,Saara hardwickii,-0.272703968
Reptilia,Squamata,0,Agamidae,0.332320214,Trapelus agilis,0.010882511
Reptilia,Squamata,0,Agamidae,0.332320214,Trapelus sanguinolentus,0.055393725
Reptilia,Squamata,0,Anguidae,0.148301408,Anguis fragilis,0.097183562
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Brookesia brygooi,0.301135377
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Brookesia exarmata,-0.195706732
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Brookesia nasus,0.308263886
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Brookesia perarmata,-0.04165079
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Brookesia stumpffi,0.123085234
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Brookesia superciliaris,0.094427373
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma boettgeri,-0.360229959
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma brevicorne,-0.33953547
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma furcifer,-0.236190525
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma gallus,0.385666672
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma gastrotaenia,0.300162597
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma glawi,-0.002263757
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma globifer,-0.150680531
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma malthe,0.265845595
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma nasutum,-0.062841351
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma oshaughnessyi,0.052968353
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Calumma parsonii,-0.428497607
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Furcifer antimena,0.02447103
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Furcifer labordi,0.026291178
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Furcifer oustaleti,-0.079089889
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Furcifer pardalis,-0.080755554
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Furcifer petteri,-0.018200132
Reptilia,Squamata,0,Chamaeleonidae,0.300657009,Furcifer verrucosus,0.310348885
Reptilia,Squamata,0,Chamaleonidae,0.140417926,Rhampholeon boulengeri,0.092017428
Reptilia,Squamata,0,Colubridae,-0.530466254,Cemophora coccinea,-0.372628992
Reptilia,Squamata,0,Colubridae,-0.530466254,Coluber constrictor,0.033728949
Reptilia,Squamata,0,Colubridae,-0.530466254,Coluber flagellum,0.193490578
Reptilia,Squamata,0,Colubridae,-0.530466254,Hierophis viridiflavus,0.108855759
Reptilia,Squamata,0,Colubridae,-0.530466254,Lampropeltis elapsoides,0.066839856
Reptilia,Squamata,0,Colubridae,-0.530466254,Lampropeltis getula,-0.160869116
Reptilia,Squamata,0,Colubridae,-0.530466254,Opheodrys aestivus,-0.982625858
Reptilia,Squamata,0,Colubridae,-0.530466254,Pantherophis guttatus,-0.056508182
Reptilia,Squamata,0,Colubridae,-0.530466254,Pantherophis obsoletus,-0.03952304
Reptilia,Squamata,0,Colubridae,-0.530466254,Pituophis melanoleucus,0.432705047
Reptilia,Squamata,0,Colubridae,-0.530466254,Regina rigida,0.48343396
Reptilia,Squamata,0,Colubridae,-0.530466254,Tantilla coronata,-0.054519396
Reptilia,Squamata,0,Corytophanidae,0.159894721,Basiliscus vittatus,0.104780789
Reptilia,Squamata,0,Crotaphytidae,-0.497120689,Crotaphytus collaris,-0.285649123
Reptilia,Squamata,0,Crotaphytidae,-0.497120689,Gambelia wislizenii,-0.040119592
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis angusticeps,-0.052421151
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis bahorucoensis,0.242419446
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis bonairensis,-0.050721866
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis capito,-0.313815535
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis carolinensis,-0.229455394
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis distichus,0.035799091
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis limifrons,0.024486915
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis lineatopus,0.080169913
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis opalinus,0.060922944
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis polylepis,0.065270488
Reptilia,Squamata,0,Dactyloidae,0.666510023,Anolis sagrei,0.574116579
Reptilia,Squamata,0,Diplodactylidae,0.155882016,Woodworthia maculatus,0.102151218
Reptilia,Squamata,0,Dipsadidae,-0.381239797,Diadophis punctatus,-1.018376903
Reptilia,Squamata,0,Dipsadidae,-0.381239797,Farancia abacura,-0.004563428
Reptilia,Squamata,0,Dipsadidae,-0.381239797,Heterodon platirhinos,0.280141248
Reptilia,Squamata,0,Dipsadidae,-0.381239797,Heterodon simus,0.492968405
Reptilia,Squamata,0,Elapidae,-0.424968034,Demansia reticulata,-0.092828759
Reptilia,Squamata,0,Elapidae,-0.424968034,Simoselaps bimaculatus,-0.092828759
Reptilia,Squamata,0,Elapidae,-0.424968034,Vermicella calonotus,-0.092828759
Reptilia,Squamata,0,Eublepharidae,0.060610914,Coleonyx brevis,-0.225122053
Reptilia,Squamata,0,Eublepharidae,0.060610914,Coleonyx variegatus,0.264841059
Reptilia,Squamata,0,Gekkonidae,0.335934714,Coleodactylus natalensis,0.058722914
Reptilia,Squamata,0,Gekkonidae,0.335934714,Crossobamon eversmanni,0.047469479
Reptilia,Squamata,0,Gekkonidae,0.335934714,Crossobamon orientalis,0.181498599
Reptilia,Squamata,0,Gekkonidae,0.335934714,Cyrtopodion kotschyi,0.059862389
Reptilia,Squamata,0,Gekkonidae,0.335934714,Cyrtopodion scabrum,0.09196346
Reptilia,Squamata,0,Gekkonidae,0.335934714,Elasmodactylus tuberculosus,0.208072286
Reptilia,Squamata,0,Gekkonidae,0.335934714,Hemidactylus brookii,0.294861247
Reptilia,Squamata,0,Gekkonidae,0.335934714,Hemidactylus flaviviridis,-0.452577462
Reptilia,Squamata,0,Gekkonidae,0.335934714,Hemidactylus mabouia,0.147937405
Reptilia,Squamata,0,Gekkonidae,0.335934714,Lygodactylus picturatus,0.23194715
Reptilia,Squamata,0,Gekkonidae,0.335934714,Microgecko persicus,-0.053753943
Reptilia,Squamata,0,Gekkonidae,0.335934714,Stenodactylus sthenodactylus,-0.59586177
Reptilia,Squamata,0,Gymnophthalmidae,0.347375092,Leposoma scincoides,0.227638761
Reptilia,Squamata,0,Iguanidae,-0.236352052,Brachylophus vitiensis,0.178024078
Reptilia,Squamata,0,Iguanidae,-0.236352052,Ctenosaura palearis,-0.23458131
Reptilia,Squamata,0,Iguanidae,-0.236352052,Cyclura cornuta,-0.293999532
Reptilia,Squamata,0,Iguanidae,-0.236352052,Cyclura nubila,-0.065007226
Reptilia,Squamata,0,Iguanidae,-0.236352052,Cyclura ricordi,0.260679863
Reptilia,Squamata,0,Lacertidae,0.634313103,Acanthodactylus cantoris,0.323085268
Reptilia,Squamata,0,Lacertidae,0.634313103,Adolfus africanus,-0.147058823
