assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
16113437,13325,Microcebus myoxinus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CHEIROGALEIDAE,Microcebus,myoxinus,,,,"Peters, 1852",Vulnerable,A2c+4c,3.1,Decreasing,Global
16971464,16971461,Microcebus gerpi,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CHEIROGALEIDAE,Microcebus,gerpi,,,,"Radespiel, Ratsimbazafy, Rasoloharijaona, Raveloson, Andriaholinirina, Rakotondravony, Randrianarison  &amp; Randrianambinina, 2012",Critically Endangered,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,Decreasing,Global
17971784,136532,Palaeopropithecus ingens,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PALAEOPROPITHECIDAE,Palaeopropithecus,ingens,,,,"G. Grandidier, 1899",Extinct,,3.1,,Global
21282528,136628,Microgale jobihely,ANIMALIA,CHORDATA,AFROSORICIDA,MAMMALIA,TENRECIDAE,Microgale,jobihely,,,,"Goodman, Raxworthy, Maminirina &amp; Olson, 2006",Endangered,B2ab(iii),3.1,Unknown,Global
22233042,136539,Monticolomys koopmani,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Monticolomys,koopmani,,,,"Carleton &amp; Goodman, 1996",Least Concern,,3.1,Unknown,Global
22234256,2997,Brachyuromys betsileoensis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Brachyuromys,betsileoensis,,,,"(Bartlett, 1880)",Least Concern,,3.1,Unknown,Global
22234363,2998,Brachyuromys ramirohitra,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Brachyuromys,ramirohitra,,,,"Major, 1896",Least Concern,,3.1,Unknown,Global
22236108,165925,Voalavo antsahabensis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Voalavo,antsahabensis,,,,"Goodman, Rakotondravony, Randriamanantsoa &amp; Rakotomalala-Razanahoera, 2005",Endangered,B1ab(iii),3.1,Unknown,Global
22236959,12647,Macrotarsomys bastardi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Macrotarsomys,bastardi,,,,"Milne-Edwards &amp; G. Grandidier, 1898",Least Concern,,3.1,Stable,Global
22237052,2991,Brachytarsomys albicauda,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Brachytarsomys,albicauda,,,,"Günther, 1875",Least Concern,,3.1,Unknown,Global
22237177,136399,Brachytarsomys villosa,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Brachytarsomys,villosa,,,,"Petter, 1962",Vulnerable,"B1ab(iii,v)",3.1,Unknown,Global
22237297,9581,Gymnuromys roberti,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Gymnuromys,roberti,,,,"Major, 1896",Least Concern,,3.1,Unknown,Global
22237564,136475,Nesomys audeberti,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Nesomys,audeberti,,,,"Jentink, 1879",Least Concern,,3.1,Decreasing,Global
22237658,14671,Nesomys rufus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Nesomys,rufus,,,,"Peters, 1870",Least Concern,,3.1,Unknown,Global
22238349,7621,Eliurus minor,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Eliurus,minor,,,,"Major, 1896",Least Concern,,3.1,Unknown,Global
22238442,7622,Eliurus majori,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,NESOMYIDAE,Eliurus,majori,,,,"Thomas, 1895",Least Concern,,3.1,Unknown,Global
