internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
8668,Fossa fossana,"Viverra fossa Schreber, 1777",Viverra,fossa,"Schreber, 1777",,
8833,Galidictis fasciata,"Viverra fasciata Gmelin, 1788",Viverra,fasciata,"Gmelin, 1788",,
13923,Mungotictis decemlineata,"Mungotictis lineata Pocock, 1915",Mungotictis,lineata,"Pocock, 1915",,
13923,Mungotictis decemlineata,"Mungotictis substriatus Pocock, 1915",Mungotictis,substriatus,"Pocock, 1915",,
13923,Mungotictis decemlineata,"Mungotictis vittatus Gray, 1848",Mungotictis,vittatus,"Gray, 1848",,
19852,Salanoia concolor,"Salanoia  olivacea (I. Geoffroy Saint-Hilaire, 1839)",Salanoia ,olivacea,"(I. Geoffroy Saint-Hilaire, 1839)",,
19852,Salanoia concolor,"Salanoia unicolor (I. Geoffroy Saint-Hilaire, 1837)",Salanoia,unicolor,"(I. Geoffroy Saint-Hilaire, 1837)",,
19852,Salanoia concolor,"Salanoia  durrelli Durbin, Funk, Hawkins, Hills, Jenkins, Moncrieff & Ralainasolo, 2010",Salanoia ,durrelli,"Durbin, Funk, Hawkins, Hills, Jenkins, Moncrieff & Ralainasolo, 2010",,
19852,Salanoia concolor,"Galidia concolor I. Geoffroy Saint-Hilaire, 1837",Galidia,concolor,"I. Geoffroy Saint-Hilaire, 1837",,
39547,Eupleres major,"Eupleres goudotii ssp. major Lavauden, 1929",Eupleres,goudotii,,subspecies,"Lavauden, 1929"
68336601,Eupleres goudotii,"Eupleres goudotii ssp. goudotti Doyère, 1835",Eupleres,goudotii,,subspecies,"Doyère, 1835"
40783,Hippopotamus madagascariensis,"Hippopotamus guldbergi Fovet, Faure & Guérin, 2011",Hippopotamus,guldbergi,"Fovet, Faure & Guérin, 2011",,
40782,Hippopotamus lemerlei,"Hippopotamus madagascariensis Guldberg, 1883 [illegitimate replacement name]",Hippopotamus,madagascariensis,"Guldberg, 1883 [illegitimate replacement name]",,
40593,Hemicentetes semispinosus,"Ericulus semispinosus G. Cuvier, 1798",Ericulus,semispinosus,"G. Cuvier, 1798",,
