removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1,1,prune,1,1016,90.3137608888867,1016,90.3137608888867,0.000477265531563881,0.000472783846594859,2127778,190935.165513319
2,1,prune,2,1009,89.8554494669806,2025,180.169210355867,0.000951242816355176,0.000943168477003231,2126769,190845.310063852
3,1,prune,3,1000,87.9675445173339,3025,268.136754873201,0.001420992355296,0.00140367010668929,2125769,190757.342519335
4,1,prune,4,1000,89.2419159270342,4025,357.378670800235,0.00189074189423683,0.00187084294806158,2124769,190668.100603408
5,1,prune,5,1000,89.2243573022799,5025,446.603028102515,0.00236049143317766,0.00233792387172309,2123769,190578.876246106
6,1,prune,6,1084,96.938317857981,6109,543.541345960496,0.00286969993338952,0.00284538663651391,2122685,190481.937928248
7,1,prune,7,1023,91.1090011354771,7132,634.650347095974,0.00335025371172598,0.00332233348926696,2121662,190390.828927112
8,1,prune,8,1010,90.0214862009489,8142,724.671833296922,0.00382470074605622,0.00379358730599853,2120652,190300.807440911
9,1,prune,9,1021,90.5060554609718,9163,815.177888757894,0.0043043150253148,0.00426737779617212,2119631,190210.30138545
10,1,prune,10,1007,89.0645065510952,10170,904.242395308989,0.00477735281102822,0.00473362191653497,2118624,190121.236878899
11,1,prune,11,1010,92.0077967088978,11180,996.250192017887,0.00525179984535845,0.00521527387761617,2117614,190029.22908219
12,1,prune,12,1000,91.9769838738595,12180,1088.22717589175,0.00572154938429928,0.00569676453647132,2116614,189937.252098317
13,1,prune,13,1000,91.7111208092343,13180,1179.93829670098,0.00619129892324011,0.00617686342776941,2115614,189845.540977507
14,1,prune,14,1000,91.4555680325144,14180,1271.3938647335,0.00666104846218093,0.00665562452487539,2114614,189754.085409475
15,1,prune,15,1000,91.1997864074379,15180,1362.59365114093,0.00713079800112176,0.00713304662979012,2113614,189662.885623067
16,1,prune,16,1000,90.9324511723404,16180,1453.52610231327,0.00760054754006259,0.00760906926047705,2112614,189571.953171895
17,1,prune,17,1000,90.6611165613067,17180,1544.18721887458,0.00807029707900342,0.00808367148058805,2111614,189481.292055334
18,1,prune,18,1000,90.367802677375,18180,1634.55502155196,0.00854004661794425,0.00855673823074474,2110614,189390.924252656
19,1,prune,19,1000,90.0345631472699,19180,1724.58958469923,0.00900979615688507,0.0090280605040318,2109614,189300.889689509
20,1,prune,20,1000,89.5687358040222,20180,1814.15832050325,0.0094795456958259,0.00949694421600747,2108614,189211.320953705
21,1,prune,21,1000,89.0529024973359,21180,1903.21122300058,0.00994929523476673,0.00996312759026565,2107614,189122.268051208
22,1,prune,22,1000,88.4520538513565,22180,1991.66327685194,0.0104190447737076,0.0104261655796869,2106614,189033.815997356
23,1,prune,23,1000,87.8459071642641,23180,2079.5091840162,0.0108887943126484,0.0108860304495358,2105614,188945.970090192
24,1,prune,24,1000,88.2738821509308,24180,2167.78306616713,0.0113585438515892,0.0113481357272523,2104614,188857.696208041
25,1,prune,25,1000,90.3911039530557,25180,2258.17417012019,0.01182829339053,0.0118213244573447,2103614,188767.305104088
26,1,prune,26,1000,89.8731338928958,26180,2348.04730401309,0.0122980429294709,0.0122918016640208,2102614,188677.431970195
27,1,prune,27,1004,90.0385537796328,27184,2438.08585779272,0.0127696714665675,0.0127631448278842,2101610,188587.393416416
28,1,prune,28,1016,91.8279766320194,28200,2529.91383442474,0.0132469369981313,0.0132438554481686,2100594,188495.565439784
29,1,prune,29,1011,92.3283363575597,29211,2622.2421707823,0.0137218537820005,0.0137271854034623,2099583,188403.237103426
30,1,prune,30,1333,122.109489430206,30544,2744.3516602125,0.0143480299174086,0.0143664168289986,2098250,188281.127613996
31,1,prune,31,1011,91.1185507122183,31555,2835.47021092472,0.0148229467012778,0.0148434136728668,2097239,188190.009063284
32,1,prune,32,1013,92.6545018435174,32568,2928.12471276824,0.0152988029842249,0.0153284510730898,2096226,188097.35456144
33,1,prune,33,1311,119.306380825588,33879,3047.43109359383,0.0159146446297763,0.0159530084948479,2094915,187978.048180614
34,1,prune,34,1004,88.8546943122946,34883,3136.28578790612,0.0163862731668729,0.0164181542683326,2093911,187889.193486302
35,1,prune,35,1007,88.3665788564491,35890,3224.65236676257,0.0168593109525863,0.0168807448043815,2092904,187800.826907446
36,1,prune,36,1003,89.0568667253445,36893,3313.70923348792,0.017330469740144,0.0173469489309918,2091901,187711.77004072
37,1,prune,37,1009,90.8735659987981,37902,3404.58279948671,0.0178044470249352,0.0178226633034622,2090892,187620.896474722
38,1,prune,38,1029,94.4160861483039,38931,3498.99888563502,0.0182878193005054,0.0183169224279886,2089863,187526.480388573
39,1,prune,39,1011,92.4825925528274,39942,3591.48147818785,0.0187627360843745,0.0188010598996191,2088852,187433.99779602
40,1,prune,40,1026,93.6473964163224,40968,3685.12887460417,0.0192446991113278,0.0192912950073761,2087826,187340.350399604
41,1,prune,41,1299,117.5645372411,42267,3802.69341184527,0.019854903762412,0.0199067340456017,2086527,187222.785862363
42,1,prune,42,1001,87.0956248180223,43268,3889.78903666329,0.0203251230508917,0.0203626712595741,2085526,187135.690237545
43,1,prune,43,1000,88.6287860888513,44268,3978.41782275214,0.0207948725898326,0.0208266344252502,2084526,187047.061451456
44,1,prune,44,1002,88.8282794117671,45270,4067.24610216391,0.0212655616278513,0.0212916419192728,2083524,186958.233172044
45,1,prune,45,1008,88.6160365617721,46278,4155.86213872568,0.0217390691631036,0.0217555383424016,2082516,186869.617135483
46,1,prune,46,1001,89.6187851373067,47279,4245.48092386299,0.0222092884515834,0.0222246840578203,2081515,186779.998350345
47,1,prune,47,1006,90.1007006817902,48285,4335.58162454478,0.0226818564877579,0.0226963525547356,2080509,186689.897649663
48,1,prune,48,1019,91.0211673124721,49304,4426.60279185725,0.0231605312679386,0.0231728396058783,2079490,186598.876482351
49,1,prune,49,1005,89.3601337087387,50309,4515.96292556599,0.0236326295545741,0.0236406313059607,2078485,186509.516348642
50,1,prune,50,1006,89.1568051805621,51315,4605.11973074655,0.0241051975907486,0.0241073586007661,2077479,186420.359543462
51,1,prune,51,1006,88.6755131914078,52321,4693.79524393796,0.024577765626923,0.0245715663783271,2076473,186331.68403027
52,1,prune,52,1013,87.6410491472949,53334,4781.43629308525,0.0250536219098701,0.0250303588361724,2075460,186244.042981123
53,1,prune,53,1010,87.169409139096,54344,4868.60570222435,0.0255280689442003,0.0254866823039648,2074450,186156.873571984
54,1,prune,54,1007,88.4683027729492,55351,4957.0740049973,0.0260011067299137,0.0259498053549267,2073443,186068.405269211
55,1,prune,55,1067,96.2309816995891,56418,5053.30498669689,0.0265023294879636,0.0264535652830013,2072376,185972.174287511
56,1,prune,56,1067,94.7133080704168,57485,5148.0182947673,0.0270035522460135,0.0269493803356858,2071309,185877.460979441
57,1,prune,57,1047,91.8682872728071,58532,5239.88658204011,0.0274953800132845,0.0274303019782952,2070262,185785.592692168
58,1,prune,58,1035,91.308004675283,59567,5331.19458671539,0.0279815707860883,0.0279082905954274,2069227,185694.284687493
59,1,prune,59,1009,89.1826727103767,60576,5420.37725942577,0.0284555480708796,0.0283751533042619,2068218,185605.102014783
60,1,prune,60,1012,89.7634033181291,61588,5510.1406627439,0.0289309346042877,0.0288450560819395,2067206,185515.338611464
61,1,prune,61,1022,90.4954747324836,62610,5600.63613747638,0.0294110186330852,0.0293187911830177,2066184,185424.843136732
62,1,prune,62,1014,89.858964704268,63624,5690.49510218065,0.0298873446655712,0.029789194215355,2065170,185334.984172028
63,1,prune,63,1078,95.7264306867131,64702,5786.22153286736,0.0303937346685494,0.0302903128674344,2064092,185239.257741341
64,1,prune,64,1018,90.984982354414,65720,5877.20651522178,0.0308719396991912,0.0307666104938039,2063074,185148.272758986
65,1,prune,65,1036,93.8999510908801,66756,5971.10646631266,0.0313586002215339,0.0312581677009767,2062038,185054.372807896
66,1,prune,66,1006,92.3351035437832,67762,6063.44156985644,0.0318311682577084,0.0317415330818391,2061032,184962.037704352
67,1,prune,67,1006,92.0581426759123,68768,6155.49971253235,0.0323037362938828,0.0322234485992124,2060026,184869.979561676
68,1,prune,68,1005,91.750161117756,69773,6247.24987365011,0.0327758345805184,0.0327037518627684,2059021,184778.229400558
69,1,prune,69,1024,93.3167027696587,70797,6340.56657641977,0.0332568581083938,0.0331922558211105,2057997,184684.912697788
70,1,prune,70,1009,91.6881119688907,71806,6432.25468838866,0.0337308353931851,0.0336722342633438,2056988,184593.22458582
71,1,prune,71,1006,91.0881984682155,72812,6523.34288685688,0.0342034034293595,0.0341490722161357,2055982,184502.136387351
72,1,prune,72,1011,90.9807884425763,73823,6614.32367529945,0.0346783202132287,0.0346253478877804,2054971,184411.155598909
73,1,prune,73,1001,89.2262172269335,74824,6703.54989252639,0.0351485395017085,0.0350924385479685,2053970,184321.929381682
74,1,prune,74,1005,88.6044090057115,75829,6792.1543015321,0.035620637788344,0.0355562741019604,2052965,184233.324972676
75,1,prune,75,1019,91.4021031927388,76848,6883.55640472484,0.0360993125685247,0.0360347553157755,2051946,184141.922869483
76,1,prune,76,1004,90.1768338892549,77852,6973.73323861409,0.0365709411056213,0.0365068223627049,2050942,184051.746035594
77,1,prune,77,1010,91.2022121403345,78862,7064.93545075442,0.0370453881399515,0.0369842571660979,2049932,183960.543823454
78,1,prune,78,1009,91.7637548391097,79871,7156.69920559353,0.0375193654247428,0.037464631591477,2048923,183868.780068615
79,1,prune,79,1002,90.1212455297881,80873,7246.82045112332,0.0379900544627616,0.0379364076386943,2047921,183778.658823085
80,1,prune,80,1004,90.2168970614158,81877,7337.03734818474,0.0384616829998581,0.0384086844124744,2046917,183688.441926024
81,1,prune,81,1007,91.0569383572536,82884,7428.09428654199,0.0389347207855716,0.0388853587215939,2045910,183597.384987666
82,1,prune,82,1000,90.2579325922227,83884,7518.35221913422,0.0394044703245124,0.0393578503124286,2044910,183507.127055074
83,1,prune,83,1002,90.8819090756826,84886,7609.2341282099,0.0398751593625311,0.0398336083601036,2043908,183416.245145998
84,1,prune,84,1004,91.1760114896486,85890,7700.41013969955,0.0403467878996277,0.0403109060056118,2042904,183325.069134509
85,1,prune,85,1002,90.527192394307,86892,7790.93733209385,0.0408174769376464,0.0407848071455972,2041902,183234.541942114
86,1,prune,86,1000,89.5220197268999,87892,7880.45935182075,0.0412872264765872,0.041253446303405,2040902,183145.019922388
87,1,prune,87,1003,90.0206113305882,88895,7970.47996315134,0.0417583852641449,0.0417246955402744,2039899,183054.999311057
88,1,prune,88,1000,91.319920768117,89895,8061.79988391946,0.0422281348030857,0.0422027465370058,2038899,182963.679390289
89,1,prune,89,1000,89.5304987776356,90895,8151.33038269709,0.0426978843420265,0.0426714300818282,2037899,182874.148891511
90,1,prune,90,1001,90.0849668238682,91896,8241.41534952096,0.0431681036305063,0.0431430162135114,2036898,182784.063924687
91,1,prune,91,1000,89.4745045433577,92896,8330.88985406432,0.0436378531694471,0.0436114066339062,2035898,182694.589420144
92,1,prune,92,1000,90.2403897841637,93896,8421.13024384848,0.0441076027083879,0.044083806389829,2034898,182604.34903036
93,1,prune,93,1000,91.2251011979462,94896,8512.35534504643,0.0445773522473288,0.0445613610152358,2033898,182513.123929162
94,1,prune,94,1000,91.1635897067409,95896,8603.51893475317,0.0450471017862696,0.0450385936339059,2032898,182421.960339455
95,1,prune,95,1000,90.9303470612433,96896,8694.44928181441,0.0455168513252104,0.0455146052497737,2031898,182331.029992394
96,1,prune,96,1000,90.4988927329746,97896,8784.94817454739,0.0459866008641513,0.0459883582437555,2030898,182240.531099661
97,1,prune,97,1013,92.9415600399957,98909,8877.88973458738,0.0464624571470983,0.0464748983660111,2029885,182147.589539621
98,1,prune,98,1003,90.5806172857555,99912,8968.47035187314,0.046933615934656,0.0469490791801617,2028882,182057.008922335
99,1,prune,99,1003,90.7997827632275,100915,9059.27013463637,0.0474047747222136,0.0474244073044947,2027879,181966.209139572
100,1,prune,100,1001,90.0808157249436,101916,9149.35095036131,0.0478749940106934,0.0478959717055746,2026878,181876.128323847
101,1,fragmentation,,2,0.175699898673058,101918,9149.52665025998,0.0478759335097713,0.0478968914776351,2026876,181875.952623948
102,2,prune,1,1002,91.4339872880449,102920,9240.96063754803,0.04834662254779,0.0483755396016207,2025874,181784.51863666
103,2,prune,2,1002,91.0920237974703,103922,9332.0526613455,0.0488173115858087,0.0488523975796431,2024872,181693.426612863
104,2,prune,3,1000,91.4339593303363,104922,9423.48662067583,0.0492870611247495,0.0493310455572728,2023872,181601.992653532
105,2,prune,4,1014,91.4394880082307,105936,9514.92610868407,0.0497633871572355,0.0498097224769992,2022858,181510.553165524
106,2,prune,5,1001,89.7528375551046,106937,9604.67894623917,0.0502336064457153,0.0502795699439241,2021857,181420.800327969
107,2,prune,6,1000,89.5917524429014,107937,9694.27069868207,0.0507033559846561,0.0507485741457892,2020857,181331.208575526
108,2,prune,7,1000,89.4541502940529,108937,9783.72484897612,0.0511731055235969,0.0512168580136477,2019857,181241.754425232
109,2,prune,8,1001,90.5748514932505,109938,9874.29970046938,0.0516433248120767,0.0516910086444294,2018856,181151.179573739
110,2,prune,9,1001,90.2402731308718,110939,9964.53997360025,0.0521135441005565,0.0521634077896834,2017855,181060.939300608
111,2,prune,10,1002,90.6560615002788,111941,10055.1960351005,0.0525842331385752,0.0526379835470365,2016853,180970.283239108
112,2,prune,11,1002,90.425215525174,112943,10145.6212506257,0.0530549221765939,0.053111350847926,2015851,180879.858023583
113,2,prune,12,1000,89.4770586018481,113943,10235.0983092275,0.0535246717155347,0.0535797546385712,2014851,180790.380964981
114,2,prune,13,1001,90.5561928285503,114944,10325.6545020561,0.0539948910040145,0.0540538075930389,2013850,180699.824772152
115,2,prune,14,1003,90.6269119361031,115947,10416.2814139922,0.0544660497915721,0.0545282307552288,2012847,180609.197860216
116,2,prune,15,1002,91.1203017362742,116949,10507.4017157285,0.0549367388295908,0.0550052367655395,2011845,180518.07755848
117,2,prune,16,1009,91.6282684865663,117958,10599.029984215,0.0554107161143821,0.055484901932902,2010836,180426.449289993
118,2,prune,17,1004,90.4506565547594,118962,10689.4806407698,0.0558823446514787,0.055958402415133,2009832,180335.998633438
119,2,prune,18,1006,91.1095813090895,119968,10780.5902220789,0.0563549126876532,0.0564353523050391,2008826,180244.889052129
120,2,prune,19,1002,90.5742516303702,120970,10871.1644737093,0.0568256017256719,0.0569094997955964,2007824,180154.314800499
121,2,prune,20,1000,90.0993695475313,121970,10961.2638432568,0.0572953512646127,0.057381161324152,2006824,180064.215430951
122,2,prune,21,1010,92.3643492972879,122980,11053.6281925541,0.057769798298943,0.0578646798037193,2005814,179971.851081654
123,2,prune,22,1004,90.6071392208333,123984,11144.2353317749,0.0582414268360396,0.0583389994576476,2004810,179881.243942433
124,2,prune,23,1000,91.4438387787836,124984,11235.6791705537,0.0587111763749804,0.0588176991532391,2003810,179789.800103655
125,2,prune,24,1001,91.4058068516429,125985,11327.0849774053,0.0591813956634602,0.0592961997553522,2002809,179698.394296803
126,2,prune,25,1000,91.1613043357904,126985,11418.2462817411,0.059651145202401,0.0597734204103253,2001809,179607.232992467
127,2,prune,26,1004,92.2330472160783,127989,11510.4793289572,0.0601227737394976,0.0602562515361338,2000805,179514.999945251
128,2,prune,27,1002,91.1446857527413,128991,11601.62401471,0.0605934627775163,0.060733385194424,1999803,179423.855259498
129,2,prune,28,1000,90.0688961674301,129991,11691.6929108774,0.0610632123164571,0.0612048871977675,1998803,179333.786363331
130,2,prune,29,1003,90.9599348276358,130994,11782.652845705,0.0615343711040148,0.0616810537027449,1997800,179242.826428503
131,2,prune,30,1000,89.6058776406006,131994,11872.2587233456,0.0620041206429556,0.0621501318486606,1996800,179153.220550863
132,2,prune,31,1001,89.0020006392318,132995,11961.2607239848,0.0624743399314354,0.0626160487565903,1995799,179064.218550223
133,2,prune,32,1000,90.1725035411314,133995,12051.433227526,0.0629440894703762,0.063088093134564,1994799,178974.046046682
134,2,prune,33,1001,90.0645838290106,134996,12141.497811355,0.063414308758856,0.0635595725632309,1993798,178883.981462853
135,2,prune,34,1004,90.1485797523899,136000,12231.6463911074,0.0638859372959526,0.0640314917024729,1992794,178793.832883101
136,2,prune,35,1003,90.4920834119073,137003,12322.1384745193,0.0643570960835102,0.0645052090503143,1991791,178703.340799689
137,2,prune,36,1001,89.6706641028559,138004,12411.8091386221,0.06482731537199,0.064974626347125,1990790,178613.670135586
138,2,prune,37,1000,89.7391383409796,139004,12501.5482769631,0.0652970649109308,0.0654444020999823,1989790,178523.930997245
139,2,prune,38,1000,89.4401398085128,140004,12590.9884167716,0.0657668144498716,0.0659126126242974,1988790,178434.490857437
140,2,prune,39,1001,89.6738295318301,141005,12680.6622463035,0.0662370337383514,0.0663820464918241,1987789,178344.817027905
141,2,prune,40,1012,91.138852320112,142017,12771.8010986236,0.0667124202717595,0.0668591496126558,1986777,178253.678175585
142,2,prune,41,1002,89.4844371500586,143019,12861.2855357736,0.0671831093097782,0.0673275920292908,1985775,178164.193738435
143,2,prune,42,1002,89.8296437754793,144021,12951.1151795491,0.0676537983477969,0.0677978415693876,1984773,178074.364094659
144,2,prune,43,1001,89.2838223458036,145022,13040.3990018949,0.0681240176362767,0.0682652337868292,1983772,177985.080272313
145,2,prune,44,1000,89.4032190833367,146022,13129.8022209783,0.0685937671752175,0.0687332510347011,1982772,177895.67705323
146,2,prune,45,1002,89.801073989836,147024,13219.6032949681,0.0690644562132362,0.0692033510147197,1981770,177805.87597924
