stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end,pct_removed_end,keep_n,actual_cells_retained,actual_area_retained_km2,target_cells_retained,target_area_retained_km2,area_match_error_km2,abs_area_match_error_km2,rank_cutoff
0,"",0,2125591,0,190740.914917118,0,0,0,0,0,0,0,0,0,2125591,2125591,190740.914917117,2125591,190740.914917118,-5.82076609134674e-10,5.82076609134674e-10,0
1,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,101,2023405,102186,181566.849841879,9174.06507523862,102186,9174.06507523862,101,0.0480741591397404,0.0480969962801375,4.80741591397404,4.80969962801375,4.80969962801375,2023782,2023782,181566.83085751,2023405,181566.849841879,-0.018984368944075,0.018984368944075,0.0478967949748039
2,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,202,1922964,202627,172519.086565577,18221.8283515406,100441,9047.76327630193,101,0.0953273701290606,0.0955318283938109,9.53273701290606,9.55318283938109,9.55318283938109,1922361,1922361,172519.11990173,1922964,172519.086565577,0.0333361531666014,0.0333361531666014,0.0956110581755638
3,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,303,1822551,303040,163383.743822107,27357.1710950103,100413,9135.34274346978,101,0.142567408311383,0.143425814576269,14.2567408311383,14.3425814576269,14.3425814576269,1820849,1820849,163383.762337558,1822551,163383.743822107,0.0185154507344123,0.0185154507344123,0.143368124961853
4,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,405,1721568,404023,154303.27217849,36437.642738628,100983,9080.47164361763,102,0.190075607207595,0.191032127294037,19.0075607207595,19.1032127294037,19.1032127294037,1718479,1718479,154303.311623453,1721568,154303.27217849,0.039444962516427,0.039444962516427,0.191528856754303
5,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,506,1620577,505014,145291.630854269,45449.2840628489,100991,9011.64132422092,101,0.237587569762951,0.238277582356139,23.7587569762951,23.8277582356139,23.8277582356139,1617969,1617969,145291.618344605,1620577,145291.630854269,-0.0125096642586868,0.0125096642586868,0.238814517855644
6,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,608,1520170,605421,136242.973639246,54497.9412778719,100407,9048.65721502297,102,0.284824785200916,0.285717101134556,28.4824785200916,28.5717101134556,28.5717101134556,1516584,1516584,136243.002143303,1520170,136242.973639246,0.028504056710517,0.028504056710517,0.286511838436127
7,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,709,1419637,705954,127404.602852907,63336.3120642108,100533,8838.37078633896,101,0.332121278270373,0.332054148380971,33.2121278270373,33.2054148380971,33.2054148380971,1416776,1416776,127404.638453937,1419637,127404.602852907,0.0356010301329661,0.0356010301329661,0.333467245101929
8,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,810,1318867,806724,118600.179800123,72140.7351169947,100770,8804.42305278389,101,0.379529269741921,0.37821321738098,37.9529269741921,37.821321738098,37.821321738098,1317458,1317458,118600.171747146,1318867,118600.179800123,-0.00805297696206253,0.00805297696206253,0.380192130804062
9,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,912,1218405,907186,109643.089815816,81097.8251013017,100462,8957.08998430695,102,0.42679236033649,0.425172675388188,42.679236033649,42.5172675388188,42.5172675388188,1216910,1216910,109643.122966759,1218405,109643.089815816,0.0331509425741388,0.0331509425741388,0.427495688199997
