stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end,pct_removed_end
0,,0,2125591,0,190740.914917118,0,0,0,0,0,0,0,0,0
1,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,101,2023405,102186,181566.849841879,9174.06507523862,102186,9174.06507523862,101,0.0480741591397404,0.0480969962801375,4.80741591397404,4.80969962801375,4.80969962801375
2,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,202,1922964,202627,172519.086565577,18221.8283515406,100441,9047.76327630193,101,0.0953273701290606,0.0955318283938109,9.53273701290606,9.55318283938109,9.55318283938109
3,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,303,1822551,303040,163383.743822107,27357.1710950103,100413,9135.34274346978,101,0.142567408311383,0.143425814576269,14.2567408311383,14.3425814576269,14.3425814576269
4,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,405,1721568,404023,154303.27217849,36437.642738628,100983,9080.47164361763,102,0.190075607207595,0.191032127294037,19.0075607207595,19.1032127294037,19.1032127294037
5,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,506,1620577,505014,145291.630854269,45449.2840628489,100991,9011.64132422092,101,0.237587569762951,0.238277582356139,23.7587569762951,23.8277582356139,23.8277582356139
6,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,608,1520170,605421,136242.973639246,54497.9412778719,100407,9048.65721502297,102,0.284824785200916,0.285717101134556,28.4824785200916,28.5717101134556,28.5717101134556
7,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,709,1419637,705954,127404.602852907,63336.3120642108,100533,8838.37078633896,101,0.332121278270373,0.332054148380971,33.2121278270373,33.2054148380971,33.2054148380971
8,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,810,1318867,806724,118600.179800123,72140.7351169947,100770,8804.42305278389,101,0.379529269741921,0.37821321738098,37.9529269741921,37.821321738098,37.821321738098
9,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,912,1218405,907186,109643.089815816,81097.8251013017,100462,8957.08998430695,102,0.42679236033649,0.425172675388188,42.679236033649,42.5172675388188,42.5172675388188
10,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0010.csv,1014,1117957,1007634,100608.838964023,90132.0759530948,100448,9034.25085179313,102,0.47404886452756,0.472536665729321,47.404886452756,47.2536665729321,47.2536665729321
11,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0011.csv,1115,1017581,1108010,91633.8407339457,99107.0741831719,100376,8974.99823007714,101,0.521271495786348,0.519590011541241,52.1271495786348,51.9590011541241,51.9590011541241
12,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0012.csv,1217,917153,1208438,82635.5790113504,108105.335905767,100428,8998.2617225953,102,0.568518590829562,0.566765321183146,56.8518590829562,56.6765321183146,56.6765321183146
13,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0013.csv,1318,816769,1308822,73571.2009396379,117169.71397748,100384,9064.3780717125,101,0.615744985747493,0.614287259911663,61.5744985747493,61.4287259911663,61.4287259911663
14,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0014.csv,1418,716647,1408944,64536.12135189,126204.793565228,100122,9035.07958774784,100,0.662848120828513,0.661655595078105,66.2848120828513,66.1655595078105,66.1655595078105
15,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0015.csv,1520,616593,1508998,55709.2858624125,135031.629054705,100054,8826.83548947758,102,0.709919264806823,0.707932166066102,70.9919264806823,70.7932166066102,70.7932166066102
16,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0016.csv,1622,516196,1609395,46585.6521070506,144155.262810067,100397,9123.63375536185,102,0.75715177567086,0.755764765376671,75.715177567086,75.5764765376671,75.5764765376671
17,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0017.csv,1724,415374,1710217,37477.6654775495,153263.249439568,100822,9107.98662950114,102,0.804584230926834,0.803515331286764,80.4584230926834,80.3515331286764,80.3515331286764
18,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0018.csv,1826,315141,1810450,28391.8028082409,162349.112108877,100233,9085.86266930852,102,0.851739586778454,0.851149907608559,85.1739586778454,85.1149907608559,85.1149907608559
19,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0019.csv,1926,215001,1910590,19390.2298169593,171350.685100158,100140,9001.5729912816,100,0.898851190092544,0.898342577284035,89.8851190092544,89.8342577284035,89.8342577284035
20,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0020.csv,2028,114828,2010763,10411.1337237705,180329.781193347,100173,8979.09609318883,102,0.945978318500596,0.945417407018864,94.5978318500596,94.5417407018864,94.5417407018864
21,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0021.csv,2130,14296,2111295,1302.30059474852,189438.614322369,100532,9108.833129022,102,0.99327434111266,0.993172410883557,99.327434111266,99.3172410883557,99.3172410883557
22,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0022.csv,2141,4180,2121411,383.586781157384,190357.32813596,10116,918.713813591116,11,0.998033488098134,0.997988964342946,99.8033488098134,99.7988964342946,99.7988964342946
