removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1,1,prune,1,1020,90.7927086655481,1020,90.7927086655481,0.000479866540646813,0.0004760001738746,2124571,190650.122208452
2,1,prune,2,1013,90.5065827276362,2033,181.299291393184,0.000956439879544089,0.000950500271386263,2123558,190559.615625724
3,1,prune,3,1007,88.8357831079861,3040,270.13507450117,0.00143019047408462,0.00141624084491024,2122551,190470.779842616
4,1,prune,4,1006,89.0462280488302,4046,359.181302550001,0.00190347061123236,0.00188308472100008,2121545,190381.733614568
5,1,prune,5,1016,90.1756356478628,5062,449.356938197863,0.00238145532230801,0.00235584975773615,2120529,190291.55797892
6,1,prune,6,1026,90.9510010686313,6088,540.307939266495,0.00286414460731157,0.00283267981335454,2119503,190200.606977851
7,1,prune,7,1083,96.0901387267831,7171,636.398077993278,0.00337364996370421,0.00333645289616971,2118420,190104.516839124
8,1,prune,8,1017,90.702488368431,8188,727.100566361709,0.00385210513217265,0.00381198007086028,2117403,190013.814350756
9,1,prune,9,1006,89.2990032499349,9194,816.399569611644,0.00432538526932039,0.00428014917494966,2116397,189924.515347506
10,1,prune,10,1027,91.8349173598614,10221,908.234486971505,0.00480854501171674,0.00476161335058165,2115370,189832.680430146
11,1,prune,11,1026,91.2795027900443,11247,999.513989761549,0.0052912342967203,0.00524016564666195,2114344,189741.400927356
12,1,prune,12,1014,89.0683888492467,12261,1088.5823786108,0.00576827809301037,0.00570712570548284,2113330,189652.332538507
13,1,prune,13,1022,89.8965236207427,13283,1178.47890223154,0.00624908554844276,0.00617842743778188,2112308,189562.436014886
14,1,prune,14,1011,88.8033074374349,14294,1267.28220966897,0.00672471797255446,0.00664399775066427,2111297,189473.632707449
15,1,prune,15,1021,90.7250904894103,15315,1358.00730015838,0.00720505497059406,0.00711964342180322,2110276,189382.907616959
16,1,prune,16,1000,92.2197314325571,16315,1450.22703159094,0.00767551236338505,0.00760312506743038,2109276,189290.687885527
17,1,prune,17,1000,91.864996691236,17315,1542.09202828218,0.00814596975617605,0.00808474694038382,2108276,189198.822888835
18,1,prune,18,1000,91.6187054417027,18315,1633.71073372388,0.00861642714896704,0.0085650775788392,2107276,189107.204183394
19,1,prune,19,1000,91.3635967004918,19315,1725.07433042437,0.00908688454175803,0.00904407075521246,2106276,189015.840586693
20,1,prune,20,1000,91.1362983894494,20315,1816.21062881382,0.00955734193454903,0.00952187227162571,2105276,188924.704288304
21,1,prune,21,1000,90.8551917502213,21315,1907.06582056404,0.01002779932734,0.0099982000264218,2104276,188833.849096554
22,1,prune,22,1000,90.6083905884547,22315,1997.6742111525,0.010498256720131,0.010473233873396,2103276,188743.240705965
23,1,prune,23,1000,90.3204466430221,23315,2087.99465779552,0.010968714112922,0.0109467581127144,2102276,188652.920259322
24,1,prune,24,1000,89.9883794644839,24315,2177.98303726,0.011439171505713,0.0114185414189001,2101276,188562.931879858
25,1,prune,25,1000,89.5400429183943,25315,2267.5230801784,0.011909628898504,0.0118879742249517,2100276,188473.391836939
26,1,prune,26,1000,89.052659662983,26315,2356.57573984138,0.012380086291295,0.0123548518201529,2099276,188384.339177276
27,1,prune,27,1000,88.5071317331151,27315,2445.0828715745,0.012850543684086,0.0128188693686247,2098276,188295.832045543
28,1,prune,28,1000,87.9515563218821,28315,2533.03442789638,0.013321001076877,0.0132799741942994,2097276,188207.880489221
29,1,prune,29,1000,87.8079642787816,29315,2620.84239217516,0.013791458469668,0.0137403262080083,2096276,188120.072524942
30,1,prune,30,1000,90.4430801873758,30315,2711.28547236253,0.014261915862459,0.0142144933798848,2095276,188029.629444755
31,1,prune,31,1000,89.7504856933786,31315,2801.03595805591,0.01473237325525,0.0146850294771473,2094276,187939.878959062
32,1,prune,32,1004,90.3424910186552,32319,2891.37844907457,0.0152047124776121,0.0151586692888149,2093272,187849.536468043
33,1,prune,33,1019,92.12256049217,33338,2983.50100956674,0.0156841085608661,0.0156416414950256,2092253,187757.413907551
34,1,prune,34,1012,92.3623719650748,34350,3075.86338153181,0.0161602114423706,0.016125870964121,2091241,187665.051535586
35,1,prune,35,1333,122.224045715088,35683,3198.0874272469,0.016787331146961,0.0167666566380714,2089908,187542.827489871
36,1,prune,36,1031,93.0507813432539,36714,3291.13820859016,0.0172723727189285,0.0172544952404168,2088877,187449.776708527
37,1,prune,37,1012,91.8420374540764,37726,3382.98024604423,0.017748475600433,0.017735996744664,2087865,187357.934671073
38,1,prune,38,1439,132.168180135797,39165,3515.14842618003,0.0184254637886592,0.0184289166679706,2086426,187225.766490938
39,1,prune,39,1016,93.0431764320861,40181,3608.19160261212,0.0189034484997349,0.0189167153999444,2085410,187132.723314505
40,1,prune,40,1009,92.2423429936548,41190,3700.43394560577,0.019378140009061,0.0194003155915117,2084401,187040.480971512
41,1,prune,41,1020,93.3200821427339,42210,3793.7540277485,0.0198580065497078,0.019889566060837,2083381,186947.160889369
42,1,prune,42,1373,124.687703575552,43583,3918.44173132406,0.0205039445500099,0.0205432679875041,2082008,186822.473185794
43,1,prune,43,1011,90.1740520666036,44594,4008.61578339066,0.0209795769741216,0.021016024721977,2080997,186732.299133727
44,1,prune,44,1006,88.0144792096694,45600,4096.63026260033,0.0214528571112693,0.021477459434335,2079991,186644.284654517
45,1,prune,45,1001,86.894334519713,46601,4183.52459712004,0.0219237849614531,0.0219330215488266,2078990,186557.390319998
46,1,prune,46,1000,88.8503974124746,47601,4272.37499453252,0.0223942423542441,0.0223988387409643,2077990,186468.539922585
47,1,prune,47,1015,90.1559770014418,48616,4362.53097153396,0.0228717566079269,0.0228715007130463,2076975,186378.383945584
48,1,prune,48,1000,89.3284165921249,49616,4451.85938812608,0.0233422140007179,0.0233398240228665,2075975,186289.055528991
49,1,prune,49,1054,94.4115835110403,50670,4546.27097163712,0.0238380760927196,0.0238347969213245,2074921,186194.64394548
50,1,prune,50,1021,90.475111433267,51691,4636.74608307039,0.0243184130907592,0.0243091320238513,2073900,186104.168834047
51,1,prune,51,1024,91.5476252709577,52715,4728.29370834135,0.0248001614609772,0.0247890900093246,2072876,186012.621208776
52,1,prune,52,1032,91.5665166303784,53747,4819.86022497173,0.0252856734903375,0.025269147036786,2071844,185921.054692146
53,1,prune,53,1011,89.6541140277605,54758,4909.51433899949,0.0257613059144492,0.0257391778850008,2070833,185831.400578118
54,1,prune,54,1016,90.5437124292426,55774,5000.05805142873,0.0262392906255249,0.0262138726429062,2069817,185740.856865689
55,1,prune,55,1014,89.8370992828442,56788,5089.89515071157,0.0267163344218149,0.0266848628304173,2068803,185651.019766406
56,1,prune,56,1012,88.7875674993342,57800,5178.68271821091,0.0271924373033194,0.0271503506233112,2067791,185562.232198907
57,1,prune,57,1008,87.9451217062273,58808,5266.62783991714,0.0276666583552527,0.0276114217141385,2066783,185474.2870772
58,1,prune,58,1011,87.4521737945554,59819,5354.08001371169,0.0281422907793644,0.0280699084202159,2065772,185386.834903406
59,1,prune,59,1014,87.5225244746486,60833,5441.60253818634,0.0286193345756545,0.0285287639547649,2064758,185299.312378931
60,1,prune,60,1008,89.4324163865725,61841,5531.03495457291,0.0290935556275878,0.028997632505728,2063750,185209.879962545
61,1,prune,61,1056,94.2712959064926,62897,5625.3062504794,0.0295903586343751,0.0294918699164454,2062694,185115.608666638
62,1,prune,62,1035,92.2713649272291,63932,5717.57761540663,0.0300772820359138,0.0299756222617003,2061659,185023.337301711
63,1,prune,63,1031,93.9683932120174,64963,5811.54600861865,0.0305623236078813,0.0304682716403239,2060628,184929.368908499
64,1,prune,64,1005,92.2124995787873,65968,5903.75850819744,0.0310351332876362,0.0309517153714125,2059623,184837.15640892
65,1,prune,65,1012,92.6075735066112,66980,5996.36608170405,0.0315112361691407,0.0314372303619789,2058611,184744.548835414
66,1,prune,66,1020,93.1884786836708,68000,6089.55456038772,0.0319911027097875,0.0319257908720518,2057591,184651.36035673
67,1,prune,67,1005,91.7456022278761,69005,6181.3001626156,0.0324639123895425,0.0324067867940214,2056586,184559.614754502
68,1,prune,68,1005,91.7033028878238,70010,6273.00346550342,0.0329367220692974,0.032887560952663,2055581,184467.911451614
69,1,prune,69,1022,93.170093370823,71032,6366.17355887424,0.0334175295247298,0.0333760250738051,2054559,184374.741358243
70,1,prune,70,1016,92.4314855318779,72048,6458.60504440612,0.0338955142358055,0.0338606168855412,2053543,184282.309872711
71,1,prune,71,1006,91.2799081946827,73054,6549.8849526008,0.0343687943729532,0.0343391713070419,2052537,184191.029964517
72,1,prune,72,1003,90.5264431123424,74057,6640.41139571315,0.0348406631379226,0.0348137755268637,2051534,184100.503521404
73,1,prune,73,1010,90.7909707165174,75067,6731.20236642966,0.0353158251046415,0.0352897665891692,2050524,184009.712550688
74,1,prune,74,1005,89.8910885286306,76072,6821.09345495829,0.0357886347843964,0.0357610398268366,2049519,183919.821462159
75,1,prune,75,1015,90.0114197562058,77087,6911.1048747145,0.0362661490380793,0.0362329439266744,2048504,183829.810042403
76,1,prune,76,1039,91.696777838958,78126,7002.80165255346,0.0367549542691891,0.0367136838763533,2047465,183738.113264564
77,1,prune,77,1016,91.6845176966323,79142,7094.48617025009,0.0372329389802648,0.0371943595496166,2046449,183646.428746868
78,1,prune,78,1002,89.9191519428103,80144,7184.4053221929,0.0377043372878414,0.0376657799157288,2045447,183556.509594925
79,1,prune,79,1002,90.3718609300928,81146,7274.77718312299,0.0381757355954179,0.0381395737054323,2044445,183466.137733995
80,1,prune,80,1002,90.2336188649004,82148,7365.01080198789,0.0386471339029945,0.0386126427315723,2043443,183375.90411513
81,1,prune,81,1005,91.0729973967708,83153,7456.08379938466,0.0391199435827495,0.0390901123790066,2042438,183284.831117733
82,1,prune,82,1003,90.0973713586342,84156,7546.1811707433,0.0395918123477188,0.0395624670984845,2041435,183194.733746374
83,1,prune,83,1005,90.4085375717492,85161,7636.58970831505,0.0400646220274738,0.0400364531733182,2040430,183104.325208803
84,1,prune,84,1002,90.0479149186886,86163,7726.63762323374,0.0405360203350504,0.0405085486068429,2039428,183014.277293884
85,1,prune,85,1001,90.2587057691271,87164,7816.89632900286,0.0410069481852341,0.0409817491564384,2038427,182924.018588115
86,1,prune,86,1003,91.4725036513754,88167,7908.36883265424,0.0414788169502035,0.0414613133007706,2037424,182832.546084463
87,1,prune,87,1005,91.5172224627035,89172,7999.88605511694,0.0419516266299584,0.0419411118930258,2036419,182741.028862001
88,1,prune,88,1003,90.2526785661417,90175,8090.13873368308,0.0424234953949278,0.0424142808437219,2035416,182650.776183434
89,1,prune,89,1003,89.3182122156833,91178,8179.45694589877,0.0428953641598972,0.0428825506549184,2034413,182561.457971219
90,1,prune,90,1000,91.151433000768,92178,8270.60837889954,0.0433658215526882,0.0433604315177651,2033413,182470.306538218
91,1,prune,91,1000,90.4498239569977,93178,8361.05820285653,0.0438362789454792,0.0438346340452947,2032413,182379.856714261
92,1,prune,92,1003,88.7936503344727,94181,8449.85185319101,0.0443081477104485,0.0443001537287514,2031410,182291.063063927
93,1,prune,93,1000,91.3622969283251,95181,8541.21415011933,0.0447786051032395,0.0447791400907914,2030410,182199.700766998
94,1,prune,94,1000,91.6908060006621,96181,8632.90495611999,0.0452490624960305,0.0452598487318321,2029410,182108.009960998
95,1,prune,95,1000,91.3035433115858,97181,8724.20849943158,0.0457195198888215,0.045738527065483,2028410,182016.706417686
96,1,prune,96,1000,90.5822828781235,98181,8814.7907823097,0.0461899772816125,0.0462134240372077,2027410,181926.124134808
97,1,prune,97,1000,89.443031634852,99181,8904.23381394455,0.0466604346744035,0.0466823482408779,2026410,181836.681103173
98,1,prune,98,1001,89.8985499152813,100182,8994.13236385984,0.0471313625245873,0.0471536605964591,2025409,181746.782553258
99,1,prune,99,1000,89.3367777653205,101182,9083.46914162516,0.0476018199173783,0.0476220277415162,2024409,181657.445775492
100,1,prune,100,1000,90.2386279835188,102182,9173.70776960867,0.0480722773101693,0.0480951230290309,2023409,181567.207147509
101,1,fragmentation,,4,0.357305629945278,102186,9174.06507523862,0.0480741591397404,0.0480969962801375,2023405,181566.849841879
102,2,prune,1,1009,92.3923948431704,103195,9266.45747008179,0.0485488506490665,0.0485813831505859,2022396,181474.457447036
103,2,prune,2,1009,91.797607434625,104204,9358.25507751641,0.0490235421583927,0.0490626517209632,2021387,181382.659839601
104,2,prune,3,1001,90.3862265659024,105205,9448.64130408232,0.0494944700085764,0.0495365208255818,2020386,181292.273613035
105,2,prune,4,1004,90.8380949723666,106209,9539.47939905468,0.0499668092309386,0.0500127589468671,2019382,181201.435518063
106,2,prune,5,1004,91.0875417836157,107213,9630.5669408383,0.0504391484533008,0.050490304846357,2018378,181110.347976279
107,2,prune,6,1000,90.2534238213636,108213,9720.82036465966,0.0509096058460918,0.0509634777042128,2017378,181020.094552458
108,2,prune,7,1000,91.513238635169,109213,9812.33360329483,0.0513800632388827,0.0514432554104009,2016378,180928.581313823
109,2,prune,8,1000,91.2821587787749,110213,9903.61576207361,0.0518505206316737,0.0519218216310696,2015378,180837.299155044
110,2,prune,9,1015,91.67755267191,111228,9995.29331474552,0.0523280348853566,0.0524024607887026,2014363,180745.621602372
111,2,prune,10,1003,90.5727200399399,112231,10085.8660347855,0.052799903650326,0.0528773076252049,2013360,180655.048882332
112,2,prune,11,1000,90.28053420765,113231,10176.1465689931,0.053270361043117,0.0533506226150532,2012360,180564.768348124
113,2,prune,12,1000,89.7377840320118,114231,10265.8843530251,0.0537408184359079,0.0538210921211421,2011360,180475.030564092
114,2,prune,13,1000,89.6686911426749,115231,10355.5530441678,0.0542112758286989,0.0542911993929964,2010360,180385.36187295
115,2,prune,14,1001,89.4514696619242,116232,10445.0045138297,0.0546822036788827,0.0547601678348265,2009359,180295.910403288
116,2,prune,15,1000,89.6209741822181,117232,10534.6254880119,0.0551526610716737,0.0552300249403204,2008359,180206.289429106
117,2,prune,16,1001,90.0194279447279,118233,10624.6449159567,0.0556235889218575,0.0557019710247976,2007358,180116.270001161
118,2,prune,17,1003,90.7262929666006,119236,10715.3712089233,0.0560954576868269,0.0561776230001801,2006355,180025.543708194
119,2,prune,18,1002,90.5011947328696,120238,10805.8724036561,0.0565668559944034,0.056652094849978,2005353,179935.042513461
120,2,prune,19,1005,91.2428963702562,121243,10897.1153000264,0.0570396656741584,0.0571304552290813,2004348,179843.799617091
121,2,prune,20,1005,91.2986897343506,122248,10988.4139897607,0.0575124753539133,0.0576091081168166,2003343,179752.500927357
122,2,prune,21,1001,90.3404022337806,123249,11078.7543919945,0.0579834032040971,0.0580827369775832,2002342,179662.160525123
123,2,prune,22,1002,90.4748922593345,124251,11169.2292842539,0.0584548015116737,0.0585570709310439,2001340,179571.685632864
124,2,prune,23,1001,91.0210049680219,125252,11260.2502892219,0.0589257293618575,0.0590342679970618,2000339,179480.664627896
125,2,prune,24,1010,91.639069311677,126262,11351.8893585336,0.0594008913285764,0.0595147053974564,1999329,179389.025558584
126,2,prune,25,1017,91.3753830483531,127279,11443.2647415819,0.0598793464970448,0.0599937603662766,1998312,179297.650175536
127,2,prune,26,1014,91.4858431552211,128293,11534.7505847371,0.0603563902933349,0.0604733944458079,1997298,179206.16433238
128,2,prune,27,1008,91.0205038308451,129301,11625.771088568,0.0608306113452682,0.0609505888845071,1996290,179115.14382855
129,2,prune,28,1005,91.5570836271792,130306,11717.3281721952,0.0613034210250232,0.0614305964574337,1995285,179023.586744922
130,2,prune,29,1004,91.056037994507,131310,11808.3842101897,0.0617757602473853,0.0619079771915781,1994281,178932.530706928
131,2,prune,30,1007,89.9309628083303,132317,11898.315172998,0.0622495108419258,0.0623794594786764,1993274,178842.59974412
132,2,prune,31,1009,90.2975263230806,133326,11988.6126993211,0.062724202351252,0.0628528635533203,1992265,178752.302217797
133,2,prune,32,1000,90.8578400856274,134326,12079.4705394067,0.063194659744043,0.0633292051925806,1991265,178661.444377711
134,2,prune,33,1000,88.8956749289475,135326,12168.3662143356,0.0636651171368339,0.0637952597617724,1990265,178572.548702782
135,2,prune,34,1002,89.7366191800755,136328,12258.1028335157,0.0641365154444105,0.0642657231608762,1989263,178482.812083602
136,2,prune,35,1005,92.3396845845529,137333,12350.4425181003,0.0646093251241655,0.0647498336865318,1988258,178390.472399017
137,2,prune,36,1010,92.3583674387844,138343,12442.8008855391,0.0650844870908844,0.0652340421610425,1987248,178298.114031579
138,2,prune,37,1000,90.7447584048885,139343,12533.5456439439,0.0655549444836754,0.0657097909454305,1986248,178207.369273174
139,2,prune,38,1007,90.3428168801284,140350,12623.8884608241,0.0660286950782159,0.0661834324654966,1985241,178117.026456294
140,2,prune,39,1003,90.9494447429845,141353,12714.8379055671,0.0665005638431853,0.0666602543617452,1984238,178026.077011551
141,2,prune,40,1002,92.2815856969415,142355,12807.119491264,0.0669719621507618,0.0671440602915692,1983236,177933.795425854
142,2,prune,41,1001,91.8164908088459,143356,12898.9359820728,0.0674428900009456,0.0676254278620704,1982235,177841.978935045
143,2,prune,42,1000,91.4226073342904,144356,12990.3585894071,0.0679133473937366,0.0681047304142996,1981235,177750.55632771
144,2,prune,43,1000,90.8745559891136,145356,13081.2331453963,0.0683838047865276,0.0685811596902554,1980235,177659.681771721
145,2,prune,44,1002,90.676509297547,146358,13171.9096546938,0.0688552030941042,0.0690565506641162,1979233,177569.005262424
146,2,prune,45,1000,90.2548309346498,147358,13262.1644856284,0.0693256604868952,0.069529730899064,1978233,177478.750431489
