combo,mass_idx,mass_g,curve,K,p_eval
,1,2,q50,8385,0.0398
,1,2,q50,9432,0.0664
,1,2,q50,10245,0.089
,1,2,q50,10956,0.1128
,1,2,q50,11614,0.1354
,1,2,q50,12242,0.1584
,1,2,q50,12853,0.1798
,1,2,q50,13457,0.204
,1,2,q50,14060,0.2278
,1,2,q50,14668,0.2496
,1,2,q50,15285,0.2728
,1,2,q50,15916,0.2958
,1,2,q50,16564,0.318
,1,2,q50,17234,0.3424
,1,2,q50,17929,0.366
,1,2,q50,18654,0.393
,1,2,q50,19413,0.4144
,1,2,q50,20212,0.4384
,1,2,q50,21058,0.4612
,1,2,q50,21955,0.4874
,1,2,q50,22914,0.5112
,1,2,q50,23942,0.5364
,1,2,q50,25052,0.5626
,1,2,q50,26257,0.5878
,1,2,q50,27574,0.617
,1,2,q50,29024,0.643
,1,2,q50,30633,0.6716
,1,2,q50,32437,0.6992
,1,2,q50,34480,0.7262
,1,2,q50,36824,0.7518
,1,2,q50,39553,0.7826
,1,2,q50,42791,0.8088
,1,2,q50,46720,0.8348
,1,2,q50,51630,0.8624
,1,2,q50,58012,0.8902
,1,2,q50,66778,0.9158
,1,2,q50,79874,0.9406
,1,2,q50,102485,0.9644
,1,2,q50,156140,0.9864
,1,2,q50,271115,0.9964
,1,2,q16,12148,0.037552
,1,2,q16,13923,0.063376
,1,2,q16,15320,0.0868
,1,2,q16,16558,0.110176
,1,2,q16,17713,0.132576
,1,2,q16,18823,0.156128
,1,2,q16,19912,0.180528
,1,2,q16,20995,0.203376
,1,2,q16,22084,0.225504
,1,2,q16,23188,0.248736
,1,2,q16,24316,0.271376
,1,2,q16,25476,0.295776
,1,2,q16,26674,0.31688
,1,2,q16,27919,0.341632
,1,2,q16,29219,0.36568
,1,2,q16,30582,0.38816
,1,2,q16,32018,0.410352
,1,2,q16,33538,0.434384
,1,2,q16,35154,0.46144
,1,2,q16,36881,0.485408
,1,2,q16,38735,0.51288
,1,2,q16,40738,0.537984
,1,2,q16,42912,0.564176
,1,2,q16,45289,0.588
,1,2,q16,47903,0.615328
,1,2,q16,50802,0.638976
,1,2,q16,54044,0.665456
,1,2,q16,57705,0.69368
,1,2,q16,61887,0.720704
,1,2,q16,66727,0.748528
,1,2,q16,72418,0.777456
,1,2,q16,79239,0.805904
,1,2,q16,87615,0.834752
,1,2,q16,98220,0.858528
,1,2,q16,112213,0.8876
,1,2,q16,131782,0.9132
,1,2,q16,161678,0.937776
,1,2,q16,214870,0.9624
,1,2,q16,347276,0.984176
,1,2,q16,651204,0.9952
,1,2,q025,19249,0.03555
,1,2,q025,22635,0.05918
,1,2,q025,25358,0.08637
,1,2,q025,27806,0.11078
,1,2,q025,30119,0.13312
,1,2,q025,32368,0.15666
,1,2,q025,34597,0.18023
,1,2,q025,36836,0.20576
,1,2,q025,39107,0.22669
,1,2,q025,41430,0.24908
,1,2,q025,43823,0.27103
,1,2,q025,46303,0.29315
,1,2,q025,48887,0.31514
,1,2,q025,51593,0.3392
,1,2,q025,54440,0.36712
,1,2,q025,57450,0.38677
,1,2,q025,60647,0.41423
,1,2,q025,64057,0.43678
,1,2,q025,67713,0.46102
,1,2,q025,71652,0.48492
,1,2,q025,75918,0.51053
,1,2,q025,80564,0.53702
,1,2,q025,85654,0.56421
,1,2,q025,91268,0.59142
,1,2,q025,97503,0.61425
,1,2,q025,104486,0.64381
,1,2,q025,112377,0.66915
,1,2,q025,121387,0.69831
,1,2,q025,131799,0.72271
,1,2,q025,144001,0.75112
,1,2,q025,158545,0.77798
,1,2,q025,176239,0.80519
,1,2,q025,198323,0.83634
,1,2,q025,226809,0.86111
,1,2,q025,265207,0.8836
,1,2,q025,320285,0.91273
,1,2,q025,407131,0.938
,1,2,q025,568366,0.96396
,1,2,q025,997879,0.9844
,1,2,q025,2084752,0.99559
,2,3.26251198783738,q50,6760,0.0392
,2,3.26251198783738,q50,7529,0.065
,2,3.26251198783738,q50,8122,0.0902
,2,3.26251198783738,q50,8638,0.1128
,2,3.26251198783738,q50,9114,0.1356
,2,3.26251198783738,q50,9565,0.1572
,2,3.26251198783738,q50,10003,0.178
,2,3.26251198783738,q50,10434,0.2012
,2,3.26251198783738,q50,10864,0.225
,2,3.26251198783738,q50,11295,0.2492
,2,3.26251198783738,q50,11732,0.2716
,2,3.26251198783738,q50,12177,0.295
,2,3.26251198783738,q50,12633,0.3174
,2,3.26251198783738,q50,13102,0.3412
,2,3.26251198783738,q50,13588,0.3646
,2,3.26251198783738,q50,14094,0.3876
,2,3.26251198783738,q50,14622,0.4112
,2,3.26251198783738,q50,15176,0.4346
,2,3.26251198783738,q50,15760,0.461
,2,3.26251198783738,q50,16379,0.4864
,2,3.26251198783738,q50,17037,0.5122
,2,3.26251198783738,q50,17742,0.5372
,2,3.26251198783738,q50,18500,0.565
,2,3.26251198783738,q50,19320,0.5906
,2,3.26251198783738,q50,20213,0.6168
,2,3.26251198783738,q50,21193,0.641
,2,3.26251198783738,q50,22276,0.6682
,2,3.26251198783738,q50,23486,0.6944
,2,3.26251198783738,q50,24850,0.7222
,2,3.26251198783738,q50,26408,0.75
,2,3.26251198783738,q50,28214,0.7774
,2,3.26251198783738,q50,30344,0.8036
,2,3.26251198783738,q50,32914,0.8338
,2,3.26251198783738,q50,36105,0.8602
,2,3.26251198783738,q50,40220,0.8882
,2,3.26251198783738,q50,45821,0.9156
,2,3.26251198783738,q50,54094,0.94
,2,3.26251198783738,q50,68161,0.9644
,2,3.26251198783738,q50,100742,0.9856
,2,3.26251198783738,q50,168162,0.9964
,2,3.26251198783738,q16,9486,0.0384
,2,3.26251198783738,q16,10741,0.066176
,2,3.26251198783738,q16,11720,0.088576
,2,3.26251198783738,q16,12581,0.112
,2,3.26251198783738,q16,13380,0.134304
,2,3.26251198783738,q16,14143,0.155328
,2,3.26251198783738,q16,14889,0.18
,2,3.26251198783738,q16,15628,0.204128
,2,3.26251198783738,q16,16367,0.2268
,2,3.26251198783738,q16,17114,0.24928
,2,3.26251198783738,q16,17874,0.271584
,2,3.26251198783738,q16,18652,0.294112
,2,3.26251198783738,q16,19453,0.316784
,2,3.26251198783738,q16,20283,0.339952
,2,3.26251198783738,q16,21145,0.363952
,2,3.26251198783738,q16,22047,0.39048
,2,3.26251198783738,q16,22993,0.414704
,2,3.26251198783738,q16,23991,0.4404
,2,3.26251198783738,q16,25048,0.463328
,2,3.26251198783738,q16,26174,0.488528
,2,3.26251198783738,q16,27378,0.51208
,2,3.26251198783738,q16,28673,0.539552
,2,3.26251198783738,q16,30073,0.565504
,2,3.26251198783738,q16,31597,0.591504
,2,3.26251198783738,q16,33267,0.616352
,2,3.26251198783738,q16,35110,0.643152
,2,3.26251198783738,q16,37160,0.669728
,2,3.26251198783738,q16,39465,0.695632
,2,3.26251198783738,q16,42083,0.7216
,2,3.26251198783738,q16,45096,0.750432
,2,3.26251198783738,q16,48617,0.77928
,2,3.26251198783738,q16,52809,0.8052
,2,3.26251198783738,q16,57917,0.833776
,2,3.26251198783738,q16,64330,0.8588
,2,3.26251198783738,q16,72710,0.886576
,2,3.26251198783738,q16,84294,0.9108
,2,3.26251198783738,q16,101738,0.9364
,2,3.26251198783738,q16,132177,0.9624
,2,3.26251198783738,q16,205639,0.984
,2,3.26251198783738,q16,366932,0.9948
,2,3.26251198783738,q025,14206,0.03798
,2,3.26251198783738,q025,16478,0.06156
,2,3.26251198783738,q025,18286,0.08671
,2,3.26251198783738,q025,19898,0.11149
,2,3.26251198783738,q025,21411,0.13316
,2,3.26251198783738,q025,22874,0.1556
,2,3.26251198783738,q025,24317,0.18029
,2,3.26251198783738,q025,25758,0.20344
,2,3.26251198783738,q025,27213,0.22753
,2,3.26251198783738,q025,28694,0.24915
,2,3.26251198783738,q025,30214,0.2691
,2,3.26251198783738,q025,31782,0.29504
,2,3.26251198783738,q025,33409,0.31665
,2,3.26251198783738,q025,35106,0.34182
,2,3.26251198783738,q025,36884,0.36434
,2,3.26251198783738,q025,38756,0.38796
,2,3.26251198783738,q025,40735,0.41439
,2,3.26251198783738,q025,42839,0.43759
,2,3.26251198783738,q025,45084,0.46199
,2,3.26251198783738,q025,47493,0.48676
,2,3.26251198783738,q025,50090,0.51314
,2,3.26251198783738,q025,52906,0.53599
,2,3.26251198783738,q025,55976,0.5624
,2,3.26251198783738,q025,59347,0.58715
,2,3.26251198783738,q025,63072,0.61517
,2,3.26251198783738,q025,67223,0.64039
,2,3.26251198783738,q025,71887,0.66716
,2,3.26251198783738,q025,77183,0.69826
,2,3.26251198783738,q025,83266,0.7216
,2,3.26251198783738,q025,90348,0.74719
,2,3.26251198783738,q025,98730,0.7752
,2,3.26251198783738,q025,108848,0.80873
,2,3.26251198783738,q025,121370,0.83479
,2,3.26251198783738,q025,137366,0.8607
,2,3.26251198783738,q025,158690,0.88757
,2,3.26251198783738,q025,188875,0.91551
,2,3.26251198783738,q025,235692,0.93915
,2,3.26251198783738,q025,320705,0.96199
,2,3.26251198783738,q025,539297,0.98478
,2,3.26251198783738,q025,1065015,0.9948
,3,5.32199223539131,q50,5579,0.04
,3,5.32199223539131,q50,6158,0.0644
,3,5.32199223539131,q50,6602,0.0892
,3,5.32199223539131,q50,6987,0.1124
,3,5.32199223539131,q50,7340,0.1356
,3,5.32199223539131,q50,7674,0.1582
,3,5.32199223539131,q50,7997,0.1784
,3,5.32199223539131,q50,8313,0.2022
,3,5.32199223539131,q50,8628,0.2264
,3,5.32199223539131,q50,8943,0.2494
,3,5.32199223539131,q50,9261,0.2716
,3,5.32199223539131,q50,9585,0.2944
,3,5.32199223539131,q50,9915,0.318
,3,5.32199223539131,q50,10255,0.3402
,3,5.32199223539131,q50,10605,0.3652
