method,stage,stage_order,x,scientificName,species,sp_persist
pipe,0,0,0,Accipiter henstii,Accipiter_henstii,0.943959944087264
pipe,0,0,0,Accipiter madagascariensis,Accipiter_madagascariensis,0.993594990514952
pipe,0,0,0,Acrocephalus newtoni,Acrocephalus_newtoni,1
pipe,0,0,0,Alectroenas madagascariensis,Alectroenas_madagascariensis,0.999998659431645
pipe,0,0,0,Apus balstoni,Apus_balstoni,1
pipe,0,0,0,Artamella viridis,Artamella_viridis,1
pipe,0,0,0,Asio madagascariensis,Asio_madagascariensis,0.982789840323275
pipe,0,0,0,Atelornis crossleyi,Atelornis_crossleyi,1
pipe,0,0,0,Atelornis pittoides,Atelornis_pittoides,1
pipe,0,0,0,Athene superciliaris,Athene_superciliaris,0.999999995426883
pipe,0,0,0,Aviceda madagascariensis,Aviceda_madagascariensis,0.997870782783596
pipe,0,0,0,Bernieria madagascariensis,Bernieria_madagascariensis,1
pipe,0,0,0,Brachypteracias leptosomus,Brachypteracias_leptosomus,0.999999998820981
pipe,0,0,0,Buteo brachypterus,Buteo_brachypterus,0.978835850536993
pipe,0,0,0,Calicalicus madagascariensis,Calicalicus_madagascariensis,1
pipe,0,0,0,Cheirogaleus major,Cheirogaleus_major,1
pipe,0,0,0,Cheirogaleus medius,Cheirogaleus_medius,1
pipe,0,0,0,Cinnyris notatus,Cinnyris_notatus,1
pipe,0,0,0,Coracopsis nigra,Coracopsis_nigra,0.999999960451279
pipe,0,0,0,Corythornis madagascariensis,Corythornis_madagascariensis,0.99999588913318
pipe,0,0,0,Coua coquereli,Coua_coquereli,0.99999999996435
pipe,0,0,0,Coua cristata,Coua_cristata,1
pipe,0,0,0,Coua cursor,Coua_cursor,0.99999979966988
pipe,0,0,0,Coua gigas,Coua_gigas,0.999998183458677
pipe,0,0,0,Coua serriana,Coua_serriana,0.999148451070788
pipe,0,0,0,Cryptoprocta ferox,Cryptoprocta_ferox,0.287143674795883
pipe,0,0,0,Cyanolanius madagascarinus,Cyanolanius_madagascarinus,1
pipe,0,0,0,Echinops telfairi,Echinops_telfairi,1
pipe,0,0,0,Eliurus majori,Eliurus_majori,1
pipe,0,0,0,Eliurus minor,Eliurus_minor,1
pipe,0,0,0,Eliurus myoxinus,Eliurus_myoxinus,1
pipe,0,0,0,Eliurus tanala,Eliurus_tanala,1
pipe,0,0,0,Eliurus webbi,Eliurus_webbi,1
pipe,0,0,0,Eremopterix hova,Eremopterix_hova,1
pipe,0,0,0,Eulemur albifrons,Eulemur_albifrons,1
pipe,0,0,0,Eulemur cinereiceps,Eulemur_cinereiceps,1
pipe,0,0,0,Eulemur collaris,Eulemur_collaris,1
pipe,0,0,0,Eulemur coronatus,Eulemur_coronatus,1
pipe,0,0,0,Eulemur fulvus,Eulemur_fulvus,1
